"","zone_origin","akb","akb2007","aral","aral2007"
"2607","E01002665",1293.14017,1204.12824,2182.76373,1341.25295
"2608","E01002666",1250.50313,1166.51655,2092.72834,1285.08184
"2609","E01002667",1671.05233,1568.19742,2800.46956,1730.02882
"2610","E01002668",1600.35973,1504.69991,2695.6238,1662.9184
"2611","E01002669",1531.81967,1434.58369,2579.64916,1589.92023
"2612","E01002670",1564.72208,1468.62236,2640.51649,1624.1821
"2613","E01002671",1505.75735,1413.69422,2541.29927,1563.89927
"2614","E01002672",1622.66848,1522.27087,2737.85422,1685.85715
"2615","E01002673",1555.93148,1460.23182,2629.821,1616.03264
"2616","E01002674",1517.86086,1416.48878,2560.66807,1576.07085
"2617","E01002675",1574.11146,1476.26834,2650.85377,1636.09348
"2618","E01002676",1629.90878,1518.4727,2750.28393,1689.31281
"2619","E01002677",1720.83094,1611.46908,2887.26597,1788.42606
"2620","E01002678",1521.45078,1419.01704,2560.00207,1576.74097
"2621","E01002679",1870.22284,1739.46102,3130.30689,1958.25017
"2622","E01002680",1529.15752,1428.94918,2580.31058,1589.63765
"2623","E01002681",1613.41498,1512.36937,2711.30586,1676.9113
"2624","E01002682",1708.80289,1601.53417,2868.72649,1773.5943
"2625","E01002683",1677.79429,1572.14731,2820.55598,1740.83775
"2626","E01002684",1983.80136,1854.85317,3322.90169,2057.78063
"2627","E01002686",1823.89771,1722.07883,3061.48966,1887.53129
"2628","E01002687",1889.15104,1785.30826,3190.6279,1966.51244
"2629","E01002689",1650.67426,1558.83774,2811.03709,1728.53027
"2630","E01002690",1857.17897,1755.83815,3143.15916,1940.7908
"2631","E01002691",1925.91041,1829.41937,3259.24616,2009.92928
"2632","E01002692",2062.39545,1944.43387,3476.21024,2149.71959
"2633","E01002693",2011.64144,1895.75838,3384.15009,2086.03299
"2634","E01002694",2545.43828,2360.8453,4204.0113,2485.02387
"2635","E01002695",2682.96092,2476.39189,4389.07034,2601.60065
"2636","E01002696",2799.5323,2600.23418,4647.22907,2734.4259
"2637","E01002697",2801.06626,2598.64449,4586.2093,2718.31454
"2638","E01002698",2253.82898,2094.53683,3835.91772,2262.26477
"2639","E01002699",2193.71957,2040.10099,3724.41562,2203.57342
"2640","E01002700",2343.64618,2178.4729,3912.82874,2314.26554
"2641","E01002701",3052.80319,2774.55533,4744.86229,2754.16848
"2642","E01002702",2789.54837,2529.4292,4406.26778,2583.05368
"2643","E01002703",2778.98323,2545.03998,4313.82546,2548.55815
"2644","E01002704",3032.90733,2717.15494,4802.50685,2802.80913
"2645","E01002706",2816.48165,2554.97914,4356.81517,2554.78336
"2646","E01002707",2970.14048,2740.29538,4840.81029,2862.35033
"2647","E01002708",2443.04821,2281.96505,4084.2404,2417.81697
"2648","E01002709",2613.92516,2431.5732,4321.10393,2560.77415
"2649","E01002710",2788.45378,2593.69645,4599.75712,2719.5257
"2650","E01002711",3315.07016,3075.26086,5482.26637,3212.3412
"2651","E01002712",2469.04215,2296.49368,4155.18165,2454.4309
"2652","E01002713",2477.98162,2319.2063,4184.79473,2465.75304
"2653","E01002714",2278.59866,2128.90347,3828.04935,2261.82784
"2654","E01002715",2229.59303,2080.17709,3733.89893,2218.02698
"2655","E01002716",2318.80879,2142.26899,3997.20204,2326.88457
"2656","E01002717",2351.56768,2174.65718,4000.52793,2349.1465
"2657","E01002718",2168.43054,1992.09201,3662.54887,2141.82806
"2658","E01002719",2496.16445,2326.83438,4255.1501,2506.24925
"2659","E01002720",2323.54097,2138.36673,3878.16157,2277.38387
"2660","E01002721",2273.65932,2088.95147,3774.56389,2212.15043
"2661","E01002722",2218.72309,2043.46052,3704.76194,2181.98078
"2662","E01002723",2654.50844,2445.85002,4210.83172,2497.3826
"2663","E01002724",3170.91594,2933.48799,4956.56863,2944.94748
"2664","E01002725",2752.81522,2553.41475,4347.36323,2575.50953
"2665","E01002726",2993.07438,2721.42852,4481.2285,2678.40644
"2666","E01002727",3099.88748,2877.52677,5047.71839,2973.94952
"2667","E01002728",3109.77274,2891.23647,5062.75181,2985.47999
"2668","E01002729",2835.16715,2617.98052,4493.15938,2674.02882
"2669","E01002730",2258.12386,2125.38771,3960.32025,2333.76001
"2670","E01002731",2301.66689,2150.05393,3910.8423,2309.77703
"2671","E01002732",2313.9191,2146.42732,4016.91283,2364.01437
"2672","E01002733",1993.77258,1858.95125,3419.79791,2030.80187
"2673","E01002734",2664.60958,2464.87613,4631.83518,2703.49898
"2674","E01002735",2405.36576,2233.02035,4169.9943,2449.24608
"2675","E01002736",2178.53321,2021.49271,3767.07473,2222.69448
"2676","E01002737",2000.03215,1862.56808,3451.66885,2042.95148
"2677","E01002738",2405.6738,2220.28878,4120.27674,2410.05851
"2678","E01002739",2110.95594,1959.43578,3608.35245,2132.93916
"2679","E01002740",2617.05949,2421.10644,4438.23957,2621.5727
"2680","E01002741",2057.1274,1901.95914,3591.94797,2106.80084
"2681","E01002742",2210.84122,2049.71976,3834.56921,2257.26801
"2682","E01002743",2077.42984,1924.82986,3568.60864,2098.49055
"2683","E01002744",2139.87444,1980.47561,3707.63037,2178.21661
"2684","E01002745",2217.10453,2057.58752,3822.58475,2255.44155
"2685","E01002747",2335.8443,2162.48615,4059.07966,2383.86815
"2686","E01002748",2580.08066,2385.45322,4558.45625,2663.0392
"2687","E01002749",2219.59325,2059.05192,3880.59569,2285.49178
"2688","E01002751",2288.27537,2125.65128,4008.90801,2359.85743
"2689","E01002752",2191.72576,2025.09306,3805.90235,2231.30848
"2690","E01002753",1931.8212,1809.3314,3303.16383,1970.72345
"2691","E01002754",1997.51612,1873.69812,3410.93532,2038.41734
"2692","E01002755",1779.05075,1657.7438,3078.05708,1829.17904
"2693","E01002756",2021.32052,1880.15959,3520.56354,2089.06763
"2694","E01002757",1791.70578,1676.19129,3071.66653,1836.0407
"2695","E01002758",1894.59583,1772.74747,3259.21181,1940.21306
"2696","E01002759",2050.26051,1927.84879,3494.16189,2086.28912
"2697","E01002760",2041.72404,1913.45888,3483.1326,2075.81692
"2698","E01002762",2493.78264,2326.11274,4217.81299,2484.17562
"2699","E01002763",2289.74951,2132.84869,4018.24276,2370.89063
"2700","E01002764",2328.34859,2176.43891,3942.62371,2338.48644
"2701","E01002765",2380.81999,2225.56573,4029.3259,2387.43485
"2702","E01002766",2400.18489,2238.01771,3991.79899,2366.67439
"2703","E01002767",2374.003,2215.98437,4223.87063,2494.84355
"2704","E01002768",2323.42675,2180.43156,3918.49694,2340.72666
"2705","E01002769",2232.765,2093.06744,3791.91182,2258.66372
"2706","E01002770",2175.12509,2037.68746,3688.85054,2202.66012
"2707","E01002771",2194.05041,2064.8784,3733.57842,2229.20355
"2708","E01002772",2258.50559,2123.09487,3852.80751,2298.59765
"2709","E01002773",2106.52667,1982.84658,3588.20603,2145.61432
"2710","E01002774",2094.0374,1960.97178,3623.1796,2150.69008
"2711","E01002775",2636.29143,2439.0262,4507.35061,2630.02679
"2712","E01002776",2396.33733,2211.15244,3989.652,2355.41309
"2713","E01002777",2146.80777,1978.50064,3660.98356,2139.3971
"2714","E01002778",2189.42948,2003.6212,3803.18388,2208.91488
"2715","E01002779",2343.55778,2168.59458,3987.79615,2336.2432
"2716","E01002780",2409.22866,2230.05038,4146.63706,2415.81206
"2717","E01002781",2533.9661,2356.69263,4330.89126,2533.3082
"2718","E01002782",2156.82243,1991.02213,3693.75626,2158.66143
"2719","E01002783",2394.50528,2237.55156,4012.46225,2378.78536
"2720","E01002784",2354.53798,2200.50704,3953.86695,2348.9505
"2721","E01002785",2121.60277,1985.03722,3647.19004,2165.13074
"2722","E01002786",2226.73284,2075.60301,3863.45191,2286.88539
"2723","E01002787",2284.38939,2135.3342,3898.95477,2307.21637
"2724","E01002788",2157.39754,2014.29891,3692.8181,2191.51749
"2725","E01002789",2404.20491,2258.13007,4060.40068,2417.09232
"2726","E01002790",2767.07806,2564.00437,4725.55936,2779.23621
"2727","E01002791",2675.76098,2502.26126,4525.69334,2659.81658
"2728","E01002792",2296.81649,2130.93743,3870.00607,2287.24552
"2729","E01002793",2562.17097,2449.63172,4249.507,2507.79678
"2730","E01002794",2802.18665,2594.24082,4578.13528,2715.13253
"2731","E01002795",2810.61883,2610.62378,4741.33092,2794.46278
"2732","E01002796",2127.08631,1983.80433,3608.23476,2135.84372
"2733","E01002797",2567.20528,2364.2832,4226.6415,2483.90429
"2734","E01002798",2451.1764,2245.52721,4015.44636,2351.2719
"2735","E01002799",2668.79034,2432.16329,4286.44044,2566.99782
"2736","E01002800",2234.68346,2068.09645,3702.79896,2189.05827
"2737","E01002801",2648.29358,2455.70548,4380.37881,2586.92722
"2738","E01002802",2499.07015,2314.63439,4116.26884,2435.48052
"2739","E01002803",3093.80509,2855.27424,5022.90048,2940.09856
"2740","E01002804",1974.13136,1836.04493,3416.73458,2024.09337
"2741","E01002805",2147.20995,1996.45707,3729.22806,2201.72059
"2742","E01002806",2089.39622,1940.27892,3628.23014,2145.38691
"2743","E01002807",1884.18992,1755.73205,3265.75726,1935.98719
"2744","E01002808",1966.89711,1831.20227,3392.16896,2007.89608
"2745","E01002809",2117.39562,1977.2044,3640.52028,2167.38426
"2746","E01002810",1962.91542,1835.09417,3374.94906,2007.56017
"2747","E01002811",2062.7856,1920.7299,3592.20356,2127.59621
"2748","E01002812",2118.07323,1998.3997,3674.75069,2251.8021
"2749","E01002813",2150.18416,2032.56061,3757.89703,2309.74578
"2750","E01002814",2032.61491,1919.06819,3502.25559,2155.16512
"2751","E01002815",2208.91557,2088.22363,3831.11302,2358.14145
"2752","E01002816",1918.53233,1807.18458,3329.20941,2047.65497
"2753","E01002817",2078.09228,1959.91273,3624.65381,2225.16146
"2754","E01002818",2631.4163,2487.10158,4583.23902,2755.83919
"2755","E01002819",2465.43356,2333.30388,4299.93107,2621.54546
"2756","E01002820",2476.85852,2342.631,4387.77085,2684.93955
"2757","E01002821",2511.39667,2380.87766,4436.66257,2718.74365
"2758","E01002822",2593.80043,2457.3379,4594.50597,2812.45161
"2759","E01002823",2482.67362,2351.27172,4378.27051,2679.41342
"2760","E01002824",2153.3396,2030.90029,3759.9329,2295.27034
"2761","E01002825",2383.97648,2243.41218,4220.27935,2610.25332
"2762","E01002826",2270.14442,2149.58295,4000.75734,2469.4396
"2763","E01002827",2570.6777,2438.83389,4555.10848,2777.26204
"2764","E01002828",2524.99862,2384.61164,4512.49874,2766.70559
"2765","E01002829",1962.30585,1858.16498,3425.72836,2068.2108
"2766","E01002830",2042.57999,1935.39564,3586.7767,2165.18838
"2767","E01002831",2233.69941,2127.10831,3899.73221,2338.01661
"2768","E01002832",2067.33383,1956.14806,3642.32173,2207.8973
"2769","E01002833",2153.17783,2041.76373,3780.41693,2285.59371
"2770","E01002834",2121.26352,2006.79402,3691.35492,2266.70819
"2771","E01002835",2326.32454,2201.15762,4073.8084,2495.58073
"2772","E01002836",2242.03919,2136.23006,3945.07217,2423.23286
"2773","E01002837",2306.5033,2199.70453,4099.75996,2506.37316
"2774","E01002838",2143.90721,2033.37017,3886.53762,2365.50789
"2775","E01002839",2183.30554,2061.77743,3799.14041,2327.85676
"2776","E01002840",2018.12784,1903.96607,3483.43719,2142.2023
"2777","E01002841",2136.17307,2005.64083,3667.79344,2245.32918
"2778","E01002842",1933.53244,1823.48097,3321.05764,2038.68661
"2779","E01002843",2151.50104,2025.54366,3683.95452,2263.49425
"2780","E01002844",2090.99027,1979.7338,3639.92244,2243.02727
"2781","E01002845",2045.47528,1935.47581,3547.99751,2181.61196
"2782","E01002846",2217.0783,2093.56999,3865.9108,2376.54783
"2783","E01002847",2243.32918,2127.51888,3910.03182,2409.61698
"2784","E01002848",1951.81711,1843.53026,3378.07326,2073.66519
"2785","E01002849",2274.6707,2161.11843,3966.65571,2435.95425
"2786","E01002850",2527.26483,2399.30748,4411.8915,2715.70361
"2787","E01002851",2283.66211,2159.46766,3967.2145,2440.65069
"2788","E01002852",1990.34781,1879.52819,3433.99308,2068.76555
"2789","E01002853",1818.39559,1720.98067,3137.71612,1894.34909
"2790","E01002854",2213.50699,2092.98157,3861.15116,2321.81067
"2791","E01002855",1948.91499,1847.306,3369.37671,2036.50321
"2792","E01002856",2169.01562,2088.03397,3795.37514,2283.67884
"2793","E01002857",1938.93445,1837.84759,3325.07474,2004.5476
"2794","E01002858",2286.25528,2163.42562,4017.08303,2454.5467
"2795","E01002859",2601.76238,2438.98451,4558.58196,2778.05404
"2796","E01002860",2354.44692,2212.91664,4197.68274,2580.42627
"2797","E01002861",2393.92899,2252.06512,4170.03386,2550.21595
"2798","E01002862",2423.25435,2349.40073,4339.80835,2657.42272
"2799","E01002863",2357.86461,2222.81738,4103.15403,2497.11982
"2800","E01002864",2103.95414,1987.75437,3652.42661,2228.86849
"2801","E01002865",2185.06186,2063.24205,3814.04533,2350.09661
"2802","E01002866",2193.2861,2072.52091,3825.6873,2312.12534
"2803","E01002867",2066.55816,1952.66397,3593.65957,2199.85505
"2804","E01002868",2448.71879,2319.45981,4309.5579,2601.1842
"2805","E01002869",2242.02962,2116.9445,3910.77081,2355.04318
"2806","E01002870",2124.30008,2003.54775,3735.91137,2226.6981
"2807","E01002871",2252.24823,2123.77433,3952.39761,2367.4551
"2808","E01002872",1944.15441,1835.27948,3377.4258,2036.00693
"2809","E01002873",2296.94233,2159.05324,4107.34353,2412.08471
"2810","E01002874",2152.28953,2041.4213,3803.19967,2304.98595
"2811","E01002875",2241.8265,2125.2962,3929.81627,2377.29303
"2812","E01002876",1936.73824,1828.97407,3350.38564,2019.51795
"2813","E01002877",2055.27967,1941.55701,3579.21407,2151.98009
"2814","E01002878",2072.10357,1968.21139,3610.85722,2178.52856
"2815","E01002879",1938.78175,1831.91741,3364.47159,2033.31565
"2816","E01002880",2207.74981,2082.5833,3870.22384,2313.22337
"2817","E01002881",1928.57468,1821.08244,3346.59355,2018.04932
"2818","E01002882",2241.04372,2120.60156,3939.13366,2393.27881
"2819","E01002883",2516.45096,2396.2088,4424.89883,2691.72707
"2820","E01002884",2623.40408,2485.94945,4635.76275,2813.94317
"2821","E01002885",2471.8605,2339.90191,4321.77518,2630.87335
"2822","E01002886",2335.12522,2206.43075,4101.99139,2485.67423
"2823","E01002887",2269.7659,2149.16545,3972.86966,2453.62303
"2824","E01002888",2423.64315,2293.45607,4245.37972,2606.80489
"2825","E01002889",2271.95945,2124.30908,4048.60571,2538.75561
"2826","E01002890",2202.53309,2069.20407,3862.87783,2378.81645
"2827","E01002891",2182.01396,2060.118,3832.4463,2357.88612
"2828","E01002892",2161.37017,2038.04976,3779.48137,2318.53943
"2829","E01002893",2043.62908,1933.95166,3551.05348,2183.1824
"2830","E01002894",2325.49031,2203.2459,4073.0054,2503.78076
"2831","E01002895",2093.70865,1979.12797,3667.44547,2251.95409
"2832","E01002896",2078.98957,1965.00172,3626.20042,2229.42281
"2833","E01002897",2069.83506,1957.61288,3596.51182,2205.26199
"2834","E01002898",2241.62458,2123.85339,3918.90375,2403.28555
"2835","E01002899",2181.16825,2055.54319,3802.75602,2329.11598
"2836","E01002900",2125.48178,1999.17297,3664.37875,2241.2613
"2837","E01002901",2379.13563,2236.10215,4125.25621,2522.98143
"2838","E01002902",2604.2701,2456.54786,4558.08169,2791.74017
"2839","E01002903",2226.7938,2101.90218,3875.71054,2375.63566
"2840","E01002904",1673.34224,1581.99647,2874.02235,1740.44389
"2841","E01002905",2052.44109,1966.01515,3532.56161,2135.73113
"2842","E01002906",1939.35521,1860.52265,3322.6339,2010.98528
"2843","E01002907",1698.55027,1602.57831,2922.80692,1769.80938
"2844","E01002908",1869.99922,1768.25404,3217.32801,1940.08113
"2845","E01002909",2235.79533,2141.30656,4094.25245,2482.57723
"2846","E01002910",2257.08739,2137.66207,3961.94704,2425.25806
"2847","E01002911",2113.78064,1994.04741,3644.79543,2245.18817
"2848","E01002912",2085.98269,1974.40483,3638.78402,2234.10596
"2849","E01002913",2080.41322,1955.57756,3592.94435,2220.60248
"2850","E01002914",2216.5237,2092.92703,3881.42802,2379.05248
"2851","E01002915",1485.32991,1403.1777,2526.44611,1565.14172
"2852","E01002916",1518.81334,1442.5629,2588.65953,1609.2583
"2853","E01002917",1355.06499,1272.20287,2294.57915,1412.84073
"2854","E01002918",1419.90201,1342.50143,2412.62751,1493.33671
"2855","E01002919",1493.60979,1404.53239,2548.41194,1573.76743
"2856","E01002920",1681.23526,1583.9288,2785.55384,1728.22326
"2857","E01002921",1704.42081,1606.53208,2869.58746,1772.23191
"2858","E01002922",1634.80096,1538.98872,2761.18272,1702.37709
"2859","E01002923",1706.78139,1611.71764,2844.74158,1749.08864
"2860","E01002924",1582.58232,1487.05106,2659.61668,1644.21327
"2861","E01002925",1614.08112,1525.01492,2706.57498,1672.48761
"2862","E01002926",1653.14376,1544.13486,2758.97848,1714.41819
"2863","E01002927",1419.26197,1335.45165,2412.14159,1488.12907
"2864","E01002928",1681.47193,1592.32134,2898.99889,1784.80967
"2865","E01002929",1888.5779,1782.62284,3201.04458,1977.73355
"2866","E01002930",1753.23831,1674.69477,2961.23579,1832.52968
"2867","E01002931",1739.37396,1657.55317,2983.93078,1843.20291
"2868","E01002932",1582.23643,1495.74151,2688.07151,1664.15829
"2869","E01002933",1585.33018,1487.10485,2632.55982,1643.90744
"2870","E01002934",1382.07491,1299.76863,2338.82381,1444.71119
"2871","E01002935",1782.72595,1686.73312,3010.20576,1870.00544
"2872","E01002937",1495.80747,1408.78263,2527.91115,1566.26382
"2873","E01002938",1551.31937,1464.65982,2599.12463,1619.07049
"2874","E01002939",1392.8239,1308.28079,2352.09055,1446.07086
"2875","E01002940",1372.85407,1283.46338,2342.21778,1432.0137
"2876","E01002941",1372.59945,1286.75139,2314.36671,1418.18842
"2877","E01002942",1306.41967,1224.3286,2216.59134,1362.65147
"2878","E01002943",1240.38427,1159.69295,2105.26013,1289.21808
"2879","E01002944",1344.79901,1265.74129,2288.77476,1409.93039
"2880","E01002945",1317.7753,1232.59391,2231.43521,1370.68495
"2881","E01002946",1152.94104,1078.94975,1955.27544,1199.09999
"2882","E01002947",1421.72052,1332.84826,2408.02973,1481.17662
"2883","E01002948",1326.20244,1244.99853,2235.65058,1378.75992
"2884","E01002949",1332.48861,1230.64276,2287.05245,1375.47543
"2885","E01002950",1344.14292,1262.5535,2281.05614,1402.88333
"2886","E01002951",1539.66219,1449.47363,2608.98766,1619.97249
"2887","E01002952",1460.30272,1369.22253,2467.4645,1528.07008
"2888","E01002953",1708.06472,1607.47688,2902.39424,1795.23582
"2889","E01002954",1744.49609,1649.52168,2960.08206,1838.17789
"2890","E01002955",1507.94556,1417.14422,2560.12322,1584.83772
"2891","E01002956",1440.23392,1356.16253,2443.3326,1518.82719
