"","LSOA11NM","LSOA11CD","MSOA11CD","MSOA11NM","LAD11CD","LAD11NM","RGN11CD","RGN11NM","USUALRES","HHOLDRES","COMESTRES","POPDEN","HHOLDS","AVHHOLDSZ","LA.CODE","LA.NAME","X","IMD2007","INCOME2007","EMPLOYMENT2007","EDUCATION2007","IMD","Income","Employment","Education","dif_IMD","dif_income","dif_employ","dif_edu"
"36","Barking and Dagenham 008E","E01000025","E02000009","Barking and Dagenham 008","E09000002","Barking and Dagenham","E12000007","London",1609,1609,0,104.9,629,2.6,"00AB","Barking and Dagenham",NA,7514,6288,8272,3337,5772,5188,6574,8345,-1742,-1100,-1698,5008
"1","Barking and Dagenham 001A","E01000027","E02000002","Barking and Dagenham 001","E09000002","Barking and Dagenham","E12000007","London",1709,1688,21,11.6,641,2.6,"00AB","Barking and Dagenham",NA,2990,1987,5879,3155,3924,3530,6518,3828,934,1543,639,673
"2","Barking and Dagenham 001B","E01000028","E02000002","Barking and Dagenham 001","E09000002","Barking and Dagenham","E12000007","London",1549,1519,30,107.7,612,2.5,"00AB","Barking and Dagenham",NA,3656,1991,3629,4373,3617,2540,4211,9352,-39,549,582,4979
"3","Barking and Dagenham 001C","E01000029","E02000002","Barking and Dagenham 001","E09000002","Barking and Dagenham","E12000007","London",1602,1602,0,62.4,690,2.3,"00AB","Barking and Dagenham",NA,13953,14930,15815,11232,9890,13523,14189,14483,-4063,-1407,-1626,3251
"4","Barking and Dagenham 001D","E01000030","E02000002","Barking and Dagenham 001","E09000002","Barking and Dagenham","E12000007","London",1915,1915,0,66.9,770,2.5,"00AB","Barking and Dagenham",NA,2068,2228,4047,5666,4130,2853,6305,5743,2062,625,2258,77
"5","Barking and Dagenham 002A","E01000031","E02000003","Barking and Dagenham 002","E09000002","Barking and Dagenham","E12000007","London",1617,1617,0,19.2,598,2.7,"00AB","Barking and Dagenham",NA,10902,14101,12702,17382,10820,13154,12500,19106,-82,-947,-202,1724
"6","Barking and Dagenham 002B","E01000032","E02000003","Barking and Dagenham 002","E09000002","Barking and Dagenham","E12000007","London",1629,1629,0,43.4,631,2.6,"00AB","Barking and Dagenham",NA,8960,11231,12377,8822,8063,10212,10361,11620,-897,-1019,-2016,2798
"20","Barking and Dagenham 006A","E01000033","E02000007","Barking and Dagenham 006","E09000002","Barking and Dagenham","E12000007","London",1361,1361,0,93.7,533,2.6,"00AB","Barking and Dagenham",NA,4393,3417,5001,3642,4101,3477,4157,6261,-292,60,-844,2619
"11","Barking and Dagenham 003A","E01000034","E02000004","Barking and Dagenham 003","E09000002","Barking and Dagenham","E12000007","London",1444,1348,96,28.1,517,2.6,"00AB","Barking and Dagenham",NA,6714,4789,7326,6612,5459,4361,7056,7572,-1255,-428,-270,960
"43","Barking and Dagenham 010A","E01000035","E02000011","Barking and Dagenham 010","E09000002","Barking and Dagenham","E12000007","London",1610,1543,67,40.5,567,2.7,"00AB","Barking and Dagenham",NA,11084,12297,12997,10856,9728,8965,11546,12250,-1356,-3332,-1451,1394
