"","LSOA11NM","LSOA11CD","MSOA11CD","MSOA11NM","LAD11CD","LAD11NM","RGN11CD","RGN11NM","USUALRES","HHOLDRES","COMESTRES","POPDEN","HHOLDS","AVHHOLDSZ","LA.CODE","LA.NAME","X","IMD2007","INCOME2007","EMPLOYMENT2007","EDUCATION2007","IMD","Income","Employment","Education","dif_IMD","dif_income","dif_employ","dif_edu"
"811","Bromley 036B","E01000750","E02000162","Bromley 036","E09000006","Bromley","E12000007","London",1492,1492,0,48,665,2.2,"00AF","Bromley",NA,9629,8476,4644,13373,8075,7644,5441,8256,-1554,-832,797,-5117
"812","Bromley 036C","E01000751","E02000162","Bromley 036","E09000006","Bromley","E12000007","London",2007,1961,46,10.9,807,2.4,"00AF","Bromley",NA,28041,28024,23542,23571,27641,25836,26317,25445,-400,-2188,2775,1874
"813","Bromley 036D","E01000752","E02000162","Bromley 036","E09000006","Bromley","E12000007","London",1606,1606,0,11.6,778,2.1,"00AF","Bromley",NA,27540,23900,25592,22311,26261,21974,26148,24401,-1279,-1926,556,2090
"786","Bromley 031A","E01000753","E02000157","Bromley 031","E09000006","Bromley","E12000007","London",1806,1806,0,20.7,750,2.4,"00AF","Bromley",NA,31408,31707,30346,29561,29656,31446,29904,27230,-1752,-261,-442,-2331
"787","Bromley 031B","E01000754","E02000157","Bromley 031","E09000006","Bromley","E12000007","London",1675,1675,0,43.2,743,2.3,"00AF","Bromley",NA,27643,26135,26125,27190,26697,26205,28892,27060,-946,70,2767,-130
"788","Bromley 031C","E01000755","E02000157","Bromley 031","E09000006","Bromley","E12000007","London",1505,1505,0,43.9,615,2.4,"00AF","Bromley",NA,30559,27405,27040,27211,29581,30354,28520,29904,-978,2949,1480,2693
"799","Bromley 033D","E01000756","E02000159","Bromley 033","E09000006","Bromley","E12000007","London",1563,1563,0,15.4,594,2.6,"00AF","Bromley",NA,30350,32243,30657,28812,30584,31486,29641,28666,234,-757,-1016,-146
"789","Bromley 031D","E01000757","E02000157","Bromley 031","E09000006","Bromley","E12000007","London",1499,1499,0,27.6,601,2.5,"00AF","Bromley",NA,31890,31966,31035,30560,30855,32342,31732,29625,-1035,376,697,-935
"790","Bromley 031E","E01000758","E02000157","Bromley 031","E09000006","Bromley","E12000007","London",1479,1479,0,48.7,591,2.5,"00AF","Bromley",NA,30961,29949,29977,31017,30587,29588,30989,31412,-374,-361,1012,395
"800","Bromley 034A","E01000759","E02000160","Bromley 034","E09000006","Bromley","E12000007","London",1542,1542,0,3.4,549,2.8,"00AF","Bromley",NA,28541,31232,27708,26414,26812,29862,27632,25457,-1729,-1370,-76,-957
"801","Bromley 034B","E01000760","E02000160","Bromley 034","E09000006","Bromley","E12000007","London",1503,1417,86,29.8,550,2.6,"00AF","Bromley",NA,23785,20656,23275,24760,23802,25406,27215,23418,17,4750,3940,-1342
"802","Bromley 034C","E01000761","E02000160","Bromley 034","E09000006","Bromley","E12000007","London",1552,1552,0,26.9,577,2.7,"00AF","Bromley",NA,27375,28483,25829,25440,27001,29001,26963,24788,-374,518,1134,-652
"723","Bromley 018D","E01000762","E02000144","Bromley 018","E09000006","Bromley","E12000007","London",1623,1623,0,50.7,743,2.2,"00AF","Bromley",NA,28933,28019,25527,27759,28927,25732,26012,28675,-6,-2287,485,916
"763","Bromley 027A","E01000763","E02000153","Bromley 027","E09000006","Bromley","E12000007","London",1452,1452,0,17.2,523,2.8,"00AF","Bromley",NA,30326,31805,27366,25518,30299,31455,29888,23384,-27,-350,2522,-2134
"764","Bromley 027B","E01000764","E02000153","Bromley 027","E09000006","Bromley","E12000007","London",1615,1615,0,31.9,633,2.6,"00AF","Bromley",NA,19016,13510,19314,19084,22581,19095,19669,21503,3565,5585,355,2419
"803","Bromley 034D","E01000765","E02000160","Bromley 034","E09000006","Bromley","E12000007","London",1704,1697,7,7.4,679,2.5,"00AF","Bromley",NA,25880,23344,25236,28346,27894,25578,24711,26347,2014,2234,-525,-1999
"765","Bromley 027C","E01000766","E02000153","Bromley 027","E09000006","Bromley","E12000007","London",1714,1714,0,46.4,645,2.7,"00AF","Bromley",NA,30992,31694,24926,26420,32312,31642,28854,27765,1320,-52,3928,1345
"766","Bromley 027D","E01000767","E02000153","Bromley 027","E09000006","Bromley","E12000007","London",1646,1646,0,52,598,2.8,"00AF","Bromley",NA,31312,31674,29675,26557,31699,31576,31548,29038,387,-98,1873,2481
"804","Bromley 034E","E01000768","E02000160","Bromley 034","E09000006","Bromley","E12000007","London",1555,1517,38,32.2,613,2.5,"00AF","Bromley",NA,26324,24344,26242,30955,28379,26713,26858,30675,2055,2369,616,-280
"749","Bromley 024A","E01000769","E02000150","Bromley 024","E09000006","Bromley","E12000007","London",1417,1301,116,11.8,454,2.9,"00AF","Bromley",NA,12212,15532,5571,21188,10836,16884,10185,21862,-1376,1352,4614,674
"698","Bromley 012D","E01000770","E02000138","Bromley 012","E09000006","Bromley","E12000007","London",1429,1429,0,20.8,691,2.1,"00AF","Bromley",NA,29059,31540,29685,31016,28291,31206,30305,31595,-768,-334,620,579
"831","Bromley 041C","E01000771","E02006787","Bromley 041","E09000006","Bromley","E12000007","London",1635,1616,19,44.4,620,2.6,"00AF","Bromley",NA,27456,30552,29353,29104,29400,30890,30883,29872,1944,338,1530,768
"699","Bromley 012E","E01000772","E02000138","Bromley 012","E09000006","Bromley","E12000007","London",1516,1516,0,46.9,734,2.1,"00AF","Bromley",NA,31090,27697,29697,31034,30824,28478,29837,31418,-266,781,140,384
"750","Bromley 024B","E01000773","E02000150","Bromley 024","E09000006","Bromley","E12000007","London",1521,1521,0,48.9,605,2.5,"00AF","Bromley",NA,30324,29096,29101,28370,28643,29529,29194,25386,-1681,433,93,-2984
"832","Bromley 041D","E01000774","E02006787","Bromley 041","E09000006","Bromley","E12000007","London",1473,1473,0,38.9,581,2.5,"00AF","Bromley",NA,24079,23838,25559,23328,23213,25551,19984,21557,-866,1713,-5575,-1771
"751","Bromley 024C","E01000775","E02000150","Bromley 024","E09000006","Bromley","E12000007","London",2266,2266,0,20.4,867,2.6,"00AF","Bromley",NA,29129,24942,28862,28974,28412,28065,29742,26493,-717,3123,880,-2481
"752","Bromley 024D","E01000777","E02000150","Bromley 024","E09000006","Bromley","E12000007","London",1567,1567,0,62.9,565,2.8,"00AF","Bromley",NA,26036,22526,25590,27681,24898,26411,26189,26202,-1138,3885,599,-1479
"753","Bromley 024E","E01000778","E02000150","Bromley 024","E09000006","Bromley","E12000007","London",1580,1580,0,76.6,618,2.6,"00AF","Bromley",NA,19189,16251,15946,17840,19203,20701,19171,19983,14,4450,3225,2143
"641","Bromley 001A","E01000779","E02000127","Bromley 001","E09000006","Bromley","E12000007","London",1233,1185,48,10.6,551,2.2,"00AF","Bromley",NA,16835,18286,17496,25048,15467,14732,18117,23433,-1368,-3554,621,-1615
"642","Bromley 001B","E01000780","E02000127","Bromley 001","E09000006","Bromley","E12000007","London",1480,1480,0,70.4,628,2.4,"00AF","Bromley",NA,10853,7607,10676,11422,10314,8185,10580,12709,-539,578,-96,1287
"643","Bromley 001C","E01000781","E02000127","Bromley 001","E09000006","Bromley","E12000007","London",1445,1445,0,84,614,2.4,"00AF","Bromley",NA,7799,3850,8326,5114,4030,3083,6088,4828,-3769,-767,-2238,-286
"644","Bromley 001D","E01000782","E02000127","Bromley 001","E09000006","Bromley","E12000007","London",1441,1441,0,50.8,647,2.2,"00AF","Bromley",NA,5893,4007,4672,4444,1663,1303,1307,4084,-4230,-2704,-3365,-360
"645","Bromley 001E","E01000783","E02000127","Bromley 001","E09000006","Bromley","E12000007","London",1503,1503,0,79.6,626,2.4,"00AF","Bromley",NA,7967,4137,7942,5707,4767,3368,6157,6391,-3200,-769,-1785,684
"651","Bromley 002E","E01000784","E02000128","Bromley 002","E09000006","Bromley","E12000007","London",1504,1504,0,67.2,582,2.6,"00AF","Bromley",NA,24852,19902,25868,22960,24285,22336,25545,23541,-567,2434,-323,581
"646","Bromley 001F","E01000785","E02000127","Bromley 001","E09000006","Bromley","E12000007","London",1381,1381,0,65.7,609,2.3,"00AF","Bromley",NA,8748,4914,7151,7151,6044,4054,5718,9915,-2704,-860,-1433,2764
"791","Bromley 032A","E01000786","E02000158","Bromley 032","E09000006","Bromley","E12000007","London",1421,1421,0,15,627,2.3,"00AF","Bromley",NA,25527,26516,25176,24771,19783,28977,23932,27502,-5744,2461,-1244,2731
"775","Bromley 029C","E01000787","E02000155","Bromley 029","E09000006","Bromley","E12000007","London",1405,1405,0,41.2,667,2.1,"00AF","Bromley",NA,13250,10670,12952,11381,11851,12319,11836,8933,-1399,1649,-1116,-2448
"776","Bromley 029D","E01000788","E02000155","Bromley 029","E09000006","Bromley","E12000007","London",1526,1526,0,41.4,618,2.5,"00AF","Bromley",NA,17110,15237,18277,16397,11290,12816,14091,16224,-5820,-2421,-4186,-173
"792","Bromley 032B","E01000789","E02000158","Bromley 032","E09000006","Bromley","E12000007","London",1800,1800,0,125.5,657,2.7,"00AF","Bromley",NA,3659,1375,6775,3514,4271,1977,4350,3716,612,602,-2425,202
"770","Bromley 028C","E01000790","E02000154","Bromley 028","E09000006","Bromley","E12000007","London",2018,1982,36,38.7,872,2.3,"00AF","Bromley",NA,16276,22233,18080,26962,17330,17305,20187,27310,1054,-4928,2107,348
"777","Bromley 029E","E01000791","E02000155","Bromley 029","E09000006","Bromley","E12000007","London",1445,1445,0,36,621,2.3,"00AF","Bromley",NA,21722,27179,19257,17234,22670,22385,18538,22054,948,-4794,-719,4820
"793","Bromley 032C","E01000792","E02000158","Bromley 032","E09000006","Bromley","E12000007","London",1142,1142,0,36.2,483,2.4,"00AF","Bromley",NA,11596,9092,11666,10080,12963,9757,11701,14625,1367,665,35,4545
"794","Bromley 032D","E01000793","E02000158","Bromley 032","E09000006","Bromley","E12000007","London",1589,1589,0,34,643,2.5,"00AF","Bromley",NA,30075,31052,27080,29834,31424,31869,30734,30100,1349,817,3654,266
"809","Bromley 035E","E01000794","E02000161","Bromley 035","E09000006","Bromley","E12000007","London",1553,1546,7,33.5,611,2.5,"00AF","Bromley",NA,30933,31037,26686,27113,31439,31330,27087,29374,506,293,401,2261
"795","Bromley 032E","E01000795","E02000158","Bromley 032","E09000006","Bromley","E12000007","London",1412,1412,0,49.4,542,2.6,"00AF","Bromley",NA,20480,13650,16352,17941,18537,14142,15429,22229,-1943,492,-923,4288
"682","Bromley 009C","E01000796","E02000135","Bromley 009","E09000006","Bromley","E12000007","London",1630,1630,0,164.3,638,2.6,"00AF","Bromley",NA,5826,2297,5283,8266,4679,2560,4569,6536,-1147,263,-714,-1730
"704","Bromley 013E","E01000797","E02000139","Bromley 013","E09000006","Bromley","E12000007","London",1562,1562,0,23.8,679,2.3,"00AF","Bromley",NA,18935,15455,15965,29347,20483,23731,21582,30075,1548,8276,5617,728
"683","Bromley 009D","E01000798","E02000135","Bromley 009","E09000006","Bromley","E12000007","London",1464,1464,0,108.3,693,2.1,"00AF","Bromley",NA,3154,2094,2367,8046,2458,2127,3030,7593,-696,33,663,-453
"652","Bromley 004A","E01000799","E02000130","Bromley 004","E09000006","Bromley","E12000007","London",1642,1642,0,76,719,2.3,"00AF","Bromley",NA,11317,11947,10665,15894,11975,10480,11866,19362,658,-1467,1201,3468
"684","Bromley 009E","E01000800","E02000135","Bromley 009","E09000006","Bromley","E12000007","London",1618,1612,6,70,780,2.1,"00AF","Bromley",NA,8165,8035,8715,14679,7424,7215,8442,15003,-741,-820,-273,324
"714","Bromley 015E","E01000801","E02000141","Bromley 015","E09000006","Bromley","E12000007","London",1417,1410,7,76.5,650,2.2,"00AF","Bromley",NA,13048,9076,13179,17178,11305,9437,11884,12351,-1743,361,-1295,-4827
"653","Bromley 004B","E01000802","E02000130","Bromley 004","E09000006","Bromley","E12000007","London",1729,1729,0,93.4,750,2.3,"00AF","Bromley",NA,11283,8580,9583,20463,12747,11088,13515,24024,1464,2508,3932,3561
"654","Bromley 004C","E01000803","E02000130","Bromley 004","E09000006","Bromley","E12000007","London",1596,1587,9,61.1,730,2.2,"00AF","Bromley",NA,14364,11631,11822,22843,15277,12062,15409,25873,913,431,3587,3030
"655","Bromley 004D","E01000804","E02000130","Bromley 004","E09000006","Bromley","E12000007","London",1436,1426,10,21.6,548,2.6,"00AF","Bromley",NA,26241,27310,23999,30334,26657,25712,27605,30317,416,-1598,3606,-17
"656","Bromley 004E","E01000805","E02000130","Bromley 004","E09000006","Bromley","E12000007","London",1511,1505,6,94.1,717,2.1,"00AF","Bromley",NA,12660,9363,11516,21017,10802,12020,11455,14770,-1858,2657,-61,-6247
"685","Bromley 009F","E01000806","E02000135","Bromley 009","E09000006","Bromley","E12000007","London",1721,1721,0,104.7,768,2.2,"00AF","Bromley",NA,5438,3569,6081,14530,6872,5058,7932,13639,1434,1489,1851,-891
"742","Bromley 022C","E01000807","E02000148","Bromley 022","E09000006","Bromley","E12000007","London",1532,1532,0,19.1,595,2.6,"00AF","Bromley",NA,28754,26119,28487,29128,28870,27254,28189,29010,116,1135,-298,-118
"754","Bromley 025A","E01000808","E02000151","Bromley 025","E09000006","Bromley","E12000007","London",1604,1604,0,48.1,625,2.6,"00AF","Bromley",NA,24694,20157,19046,27537,29307,26223,24034,27872,4613,6066,4988,335
"743","Bromley 022D","E01000809","E02000148","Bromley 022","E09000006","Bromley","E12000007","London",1517,1517,0,27.9,629,2.4,"00AF","Bromley",NA,31675,29947,30818,28342,31745,30838,30474,26895,70,891,-344,-1447
"755","Bromley 025B","E01000810","E02000151","Bromley 025","E09000006","Bromley","E12000007","London",1503,1503,0,40.4,599,2.5,"00AF","Bromley",NA,31484,32270,31387,30352,32700,32584,31666,30748,1216,314,279,396
"756","Bromley 025C","E01000811","E02000151","Bromley 025","E09000006","Bromley","E12000007","London",1320,1320,0,44.2,571,2.3,"00AF","Bromley",NA,29023,24965,28396,24720,30306,29124,30271,26365,1283,4159,1875,1645
"771","Bromley 028D","E01000812","E02000154","Bromley 028","E09000006","Bromley","E12000007","London",1497,1491,6,39.4,663,2.2,"00AF","Bromley",NA,19295,19432,22011,27403,21408,17786,17397,26166,2113,-1646,-4614,-1237
"757","Bromley 025D","E01000813","E02000151","Bromley 025","E09000006","Bromley","E12000007","London",1610,1610,0,26.4,637,2.5,"00AF","Bromley",NA,30887,30162,27128,25953,31348,29829,29596,26082,461,-333,2468,129
"772","Bromley 028E","E01000814","E02000154","Bromley 028","E09000006","Bromley","E12000007","London",1531,1531,0,32.1,564,2.7,"00AF","Bromley",NA,27378,32408,31482,31586,32147,32733,32316,32263,4769,325,834,677
"758","Bromley 025E","E01000815","E02000151","Bromley 025","E09000006","Bromley","E12000007","London",1537,1537,0,31.5,562,2.7,"00AF","Bromley",NA,31453,32189,32169,30830,32616,32712,32640,30389,1163,523,471,-441
"824","Bromley 040A","E01000816","E02006782","Bromley 040","E09000006","Bromley","E12000007","London",1481,1481,0,48.9,592,2.5,"00AF","Bromley",NA,21338,20724,21499,19466,17426,16829,16461,16121,-3912,-3895,-5038,-3345
"825","Bromley 040B","E01000818","E02006782","Bromley 040","E09000006","Bromley","E12000007","London",1467,1467,0,11.3,568,2.6,"00AF","Bromley",NA,22328,17750,26776,21991,20435,24147,22282,21467,-1893,6397,-4494,-524
"826","Bromley 040C","E01000819","E02006782","Bromley 040","E09000006","Bromley","E12000007","London",1710,1710,0,43.8,740,2.3,"00AF","Bromley",NA,8860,7300,6719,15217,7388,6402,7074,13084,-1472,-898,355,-2133
"675","Bromley 008C","E01000820","E02000134","Bromley 008","E09000006","Bromley","E12000007","London",1405,1346,59,23.7,643,2.1,"00AF","Bromley",NA,14876,12380,11173,27390,13277,10604,8806,26490,-1599,-1776,-2367,-900
"676","Bromley 008D","E01000822","E02000134","Bromley 008","E09000006","Bromley","E12000007","London",1614,1570,44,72.7,727,2.2,"00AF","Bromley",NA,19174,14253,18920,27737,20185,14900,18173,25432,1011,647,-747,-2305
"677","Bromley 008E","E01000823","E02000134","Bromley 008","E09000006","Bromley","E12000007","London",1676,1671,5,68.6,747,2.2,"00AF","Bromley",NA,22345,21960,21787,30859,25329,23637,23126,31342,2984,1677,1339,483
"678","Bromley 008F","E01000824","E02000134","Bromley 008","E09000006","Bromley","E12000007","London",1206,1206,0,72.9,514,2.3,"00AF","Bromley",NA,19237,15540,19027,29856,16345,13584,14980,28645,-2892,-1956,-4047,-1211
"679","Bromley 008G","E01000825","E02000134","Bromley 008","E09000006","Bromley","E12000007","London",1573,1547,26,89.3,807,1.9,"00AF","Bromley",NA,18586,15559,18114,26101,16211,15008,12348,29147,-2375,-551,-5766,3046
"735","Bromley 021A","E01000826","E02000147","Bromley 021","E09000006","Bromley","E12000007","London",1625,1625,0,31.4,563,2.9,"00AF","Bromley",NA,31945,32190,30370,31406,31618,32480,31806,31786,-327,290,1436,380
"736","Bromley 021B","E01000827","E02000147","Bromley 021","E09000006","Bromley","E12000007","London",1692,1692,0,45.2,790,2.1,"00AF","Bromley",NA,28469,23388,23995,31641,29280,23544,27727,29804,811,156,3732,-1837
"694","Bromley 011E","E01000828","E02000137","Bromley 011","E09000006","Bromley","E12000007","London",1584,1584,0,46.4,766,2.1,"00AF","Bromley",NA,20627,18969,22569,29372,23758,23923,22726,30651,3131,4954,157,1279
"724","Bromley 018E","E01000829","E02000144","Bromley 018","E09000006","Bromley","E12000007","London",1733,1733,0,77.7,734,2.4,"00AF","Bromley",NA,26113,22236,26013,28318,27975,24261,28486,28978,1862,2025,2473,660
"737","Bromley 021C","E01000830","E02000147","Bromley 021","E09000006","Bromley","E12000007","London",1550,1550,0,26.1,544,2.8,"00AF","Bromley",NA,32069,31912,31478,31758,31992,32470,32297,31758,-77,558,819,0
"738","Bromley 021D","E01000831","E02000147","Bromley 021","E09000006","Bromley","E12000007","London",1640,1622,18,40.4,789,2.1,"00AF","Bromley",NA,29862,25322,27862,31152,26845,24531,27909,31688,-3017,-791,47,536
"778","Bromley 030A","E01000832","E02000156","Bromley 030","E09000006","Bromley","E12000007","London",1488,1488,0,17.2,572,2.6,"00AF","Bromley",NA,28910,29678,31432,28763,29462,28994,31159,30313,552,-684,-273,1550
"739","Bromley 021E","E01000833","E02000147","Bromley 021","E09000006","Bromley","E12000007","London",1462,1462,0,40.7,497,2.9,"00AF","Bromley",NA,31923,30407,29737,30740,32301,31855,31722,30581,378,1448,1985,-159
"767","Bromley 027E","E01000834","E02000153","Bromley 027","E09000006","Bromley","E12000007","London",1328,1328,0,63,461,2.9,"00AF","Bromley",NA,30921,30376,29455,24099,31955,31270,31236,25598,1034,894,1781,1499
"779","Bromley 030B","E01000835","E02000156","Bromley 030","E09000006","Bromley","E12000007","London",1614,1588,26,48.5,648,2.5,"00AF","Bromley",NA,23289,20496,26998,26496,26198,20620,26739,24722,2909,124,-259,-1774
"780","Bromley 030C","E01000836","E02000156","Bromley 030","E09000006","Bromley","E12000007","London",1419,1419,0,66.6,500,2.8,"00AF","Bromley",NA,31357,28042,31729,28622,31158,30659,31454,27698,-199,2617,-275,-924
"781","Bromley 030D","E01000837","E02000156","Bromley 030","E09000006","Bromley","E12000007","London",1512,1512,0,31.6,647,2.3,"00AF","Bromley",NA,23135,21781,17866,27317,22031,19073,17716,24944,-1104,-2708,-150,-2373
"782","Bromley 030E","E01000838","E02000156","Bromley 030","E09000006","Bromley","E12000007","London",1462,1416,46,27.1,548,2.6,"00AF","Bromley",NA,28214,24967,25137,27260,30201,30008,29092,26602,1987,5041,3955,-658
"783","Bromley 030F","E01000839","E02000156","Bromley 030","E09000006","Bromley","E12000007","London",1488,1488,0,54.1,550,2.7,"00AF","Bromley",NA,31562,31668,31657,29913,31539,31748,32375,29278,-23,80,718,-635
"784","Bromley 030G","E01000840","E02000156","Bromley 030","E09000006","Bromley","E12000007","London",1552,1552,0,19.5,685,2.3,"00AF","Bromley",NA,24684,29594,25092,29473,26310,26295,26661,28494,1626,-3299,1569,-979
"785","Bromley 030H","E01000841","E02000156","Bromley 030","E09000006","Bromley","E12000007","London",1559,1559,0,45.7,606,2.6,"00AF","Bromley",NA,26144,29646,29846,25506,30869,29133,29517,27278,4725,-513,-329,1772
"889","Camden 011A","E01000842","E02000176","Camden 011","E09000007","Camden","E12000007","London",1444,1368,76,137.3,724,1.9,"00AG","Camden",NA,18352,19944,21386,29445,21358,24713,25891,22443,3006,4769,4505,-7002
"903","Camden 014A","E01000843","E02000179","Camden 014","E09000007","Camden","E12000007","London",1678,1678,0,201.4,846,2,"00AG","Camden",NA,14930,11510,21661,29908,15915,11383,21407,21342,985,-127,-254,-8566
"890","Camden 011B","E01000844","E02000176","Camden 011","E09000007","Camden","E12000007","London",1772,1772,0,155.6,870,2,"00AG","Camden",NA,17074,20687,22231,26560,19087,25807,25996,20151,2013,5120,3765,-6409
"904","Camden 014B","E01000845","E02000179","Camden 014","E09000007","Camden","E12000007","London",1464,1444,20,124.1,731,2,"00AG","Camden",NA,14667,13800,20827,18990,21173,19616,27758,26050,6506,5816,6931,7060
"905","Camden 014C","E01000846","E02000179","Camden 014","E09000007","Camden","E12000007","London",1501,1499,2,181.5,616,2.4,"00AG","Camden",NA,8147,4080,9980,23410,9951,6007,7699,25442,1804,1927,-2281,2032
"906","Camden 014D","E01000847","E02000179","Camden 014","E09000007","Camden","E12000007","London",1686,1684,2,171.2,677,2.5,"00AG","Camden",NA,10209,7839,12304,18764,14584,8219,13346,25327,4375,380,1042,6563
"891","Camden 011C","E01000848","E02000176","Camden 011","E09000007","Camden","E12000007","London",1588,1580,8,157.2,805,2,"00AG","Camden",NA,20716,20492,22244,32084,24561,26724,29823,26890,3845,6232,7579,-5194
"892","Camden 011D","E01000849","E02000176","Camden 011","E09000007","Camden","E12000007","London",1569,1569,0,201.9,862,1.8,"00AG","Camden",NA,16597,19835,19984,24147,22980,26404,30583,24713,6383,6569,10599,566
"959","Camden 026A","E01000850","E02000191","Camden 026","E09000007","Camden","E12000007","London",1694,1281,413,86.7,664,1.9,"00AG","Camden",NA,12765,21392,26184,26216,15786,23813,30222,24203,3021,2421,4038,-2013
"960","Camden 026B","E01000851","E02000191","Camden 026","E09000007","Camden","E12000007","London",2383,1645,738,178.5,861,1.9,"00AG","Camden",NA,15943,21836,25602,20832,18390,28785,30903,29067,2447,6949,5301,8235
"961","Camden 026C","E01000852","E02000191","Camden 026","E09000007","Camden","E12000007","London",1587,976,611,127.4,625,1.6,"00AG","Camden",NA,14726,19178,20922,26741,14834,22528,24028,29908,108,3350,3106,3167
"954","Camden 025A","E01000853","E02000190","Camden 025","E09000007","Camden","E12000007","London",1631,1596,35,278.3,840,1.9,"00AG","Camden",NA,6774,6807,7483,20679,5767,5231,5038,16473,-1007,-1576,-2445,-4206
"962","Camden 026D","E01000854","E02000191","Camden 026","E09000007","Camden","E12000007","London",1833,1643,190,97.1,718,2.3,"00AG","Camden",NA,10673,9425,16310,25384,13893,15888,19370,25365,3220,6463,3060,-19
"967","Camden 028A","E01000855","E02000193","Camden 028","E09000007","Camden","E12000007","London",1764,1714,50,55,1111,1.5,"00AG","Camden",NA,15859,26242,27912,22037,16377,25212,27661,31228,518,-1030,-251,9191
"926","Camden 019A","E01000856","E02000184","Camden 019","E09000007","Camden","E12000007","London",1645,1645,0,138.6,628,2.6,"00AG","Camden",NA,4548,3612,7876,14429,4833,4747,7428,19883,285,1135,-448,5454
"921","Camden 018A","E01000857","E02000183","Camden 018","E09000007","Camden","E12000007","London",1447,1443,4,178.2,686,2.1,"00AG","Camden",NA,14836,13057,17461,23887,17464,11847,15754,30724,2628,-1210,-1707,6837
"922","Camden 018B","E01000858","E02000183","Camden 018","E09000007","Camden","E12000007","London",1861,1861,0,85.4,775,2.4,"00AG","Camden",NA,1970,1411,3003,12114,2960,1758,3685,18609,990,347,682,6495
"923","Camden 018C","E01000859","E02000183","Camden 018","E09000007","Camden","E12000007","London",1586,1586,0,164,807,2,"00AG","Camden",NA,20381,23863,23488,28573,24133,25053,26305,31500,3752,1190,2817,2927
"924","Camden 018D","E01000860","E02000183","Camden 018","E09000007","Camden","E12000007","London",1307,1307,0,63.5,797,1.6,"00AG","Camden",NA,11064,11408,12687,21394,12856,10238,14557,26193,1792,-1170,1870,4799
"927","Camden 019B","E01000861","E02000184","Camden 019","E09000007","Camden","E12000007","London",1574,1574,0,138.1,729,2.2,"00AG","Camden",NA,4555,5710,5944,26387,6012,8482,10186,24822,1457,2772,4242,-1565
"925","Camden 018E","E01000862","E02000183","Camden 018","E09000007","Camden","E12000007","London",1712,1712,0,100.7,816,2.1,"00AG","Camden",NA,22680,26511,28508,30806,20692,24613,27430,32389,-1988,-1898,-1078,1583
"936","Camden 021A","E01000863","E02000186","Camden 021","E09000007","Camden","E12000007","London",1481,1383,98,91.8,667,2.1,"00AG","Camden",NA,2937,5348,934,15875,5313,8666,9050,16507,2376,3318,8116,632
"907","Camden 015A","E01000864","E02000180","Camden 015","E09000007","Camden","E12000007","London",1537,1537,0,157.5,717,2.1,"00AG","Camden",NA,10094,9997,10098,21207,10648,11112,12959,31532,554,1115,2861,10325
"908","Camden 015B","E01000865","E02000180","Camden 015","E09000007","Camden","E12000007","London",1505,977,528,138.5,451,2.2,"00AG","Camden",NA,14743,18641,19460,23471,16639,21469,23171,29720,1896,2828,3711,6249
"879","Camden 009A","E01000866","E02000174","Camden 009","E09000007","Camden","E12000007","London",2030,2030,0,139.5,926,2.2,"00AG","Camden",NA,6588,5677,6593,24206,7609,8253,8344,27592,1021,2576,1751,3386
"909","Camden 015C","E01000867","E02000180","Camden 015","E09000007","Camden","E12000007","London",1608,1608,0,198.8,675,2.4,"00AG","Camden",NA,3896,3240,5164,16036,4491,3574,6074,12065,595,334,910,-3971
"910","Camden 015D","E01000868","E02000180","Camden 015","E09000007","Camden","E12000007","London",1442,1442,0,172.3,584,2.5,"00AG","Camden",NA,4092,2950,2843,11154,2826,3884,3084,10481,-1266,934,241,-673
"911","Camden 015E","E01000869","E02000180","Camden 015","E09000007","Camden","E12000007","London",2110,2098,12,184.3,967,2.2,"00AG","Camden",NA,7346,3997,8065,25841,9869,9744,12946,22996,2523,5747,4881,-2845
"880","Camden 009B","E01000870","E02000174","Camden 009","E09000007","Camden","E12000007","London",1693,1693,0,133.6,774,2.2,"00AG","Camden",NA,5036,5905,6155,22632,6040,5492,6026,22157,1004,-413,-129,-475
"858","Camden 005A","E01000871","E02000170","Camden 005","E09000007","Camden","E12000007","London",1664,1653,11,54.3,632,2.6,"00AG","Camden",NA,11821,10239,14346,28221,16657,14418,16274,29520,4836,4179,1928,1299
"859","Camden 005B","E01000872","E02000170","Camden 005","E09000007","Camden","E12000007","London",1902,1896,6,129.5,913,2.1,"00AG","Camden",NA,8334,7012,9278,25941,8689,10159,9573,23119,355,3147,295,-2822
"860","Camden 005C","E01000873","E02000170","Camden 005","E09000007","Camden","E12000007","London",1639,1639,0,134.3,710,2.3,"00AG","Camden",NA,20081,19357,25083,21667,23092,20241,25579,22114,3011,884,496,447
"861","Camden 005D","E01000874","E02000170","Camden 005","E09000007","Camden","E12000007","London",1559,1559,0,182.1,704,2.2,"00AG","Camden",NA,23829,25033,27669,24697,25712,27655,30441,27892,1883,2622,2772,3195
"898","Camden 013A","E01000875","E02000178","Camden 013","E09000007","Camden","E12000007","London",1654,1646,8,141.4,839,2,"00AG","Camden",NA,10457,12512,14976,17629,10416,12044,11799,12641,-41,-468,-3177,-4988
"899","Camden 013B","E01000876","E02000178","Camden 013","E09000007","Camden","E12000007","London",1748,1748,0,149.7,800,2.2,"00AG","Camden",NA,5345,3622,6321,16882,5505,4013,5344,18868,160,391,-977,1986
