Codes;Names;pop0-15;Working age
E01000775;Bromley 024C;526;1397
E01000776;Bromley 017E;345;900
E01000777;Bromley 024D;354;928
E01000778;Bromley 024E;333;949
E01000779;Bromley 001A;163;842
E01000780;Bromley 001B;305;981
E01000781;Bromley 001C;396;924
E01000782;Bromley 001D;352;883
E01000783;Bromley 001E;403;857
E01000784;Bromley 002E;354;1001
E01000785;Bromley 001F;304;877
E01000786;Bromley 032A;192;824
E01000787;Bromley 029C;229;849
E01000788;Bromley 029D;312;1008
E01000789;Bromley 032B;594;982
E01000790;Bromley 028C;270;1147
E01000791;Bromley 029E;257;785
E01000792;Bromley 032C;301;816
E01000793;Bromley 032D;283;906
E01000794;Bromley 035E;236;947
E01000795;Bromley 032E;329;867
E01000796;Bromley 009C;518;1056
E01000797;Bromley 013E;299;1040
E01000798;Bromley 009D;374;972
E01000799;Bromley 004A;356;1066
E01000800;Bromley 009E;369;1156
E01000801;Bromley 015E;324;983
E01000802;Bromley 004B;310;1181
E01000803;Bromley 004C;291;1057
E01000804;Bromley 004D;280;966
E01000805;Bromley 004E;296;982
E01000806;Bromley 009F;420;1112
E01000807;Bromley 022C;328;934
E01000808;Bromley 025A;302;951
E01000809;Bromley 022D;295;919
E01000810;Bromley 025B;273;889
E01000811;Bromley 025C;229;887
E01000812;Bromley 028D;215;1026
E01000813;Bromley 025D;280;937
E01000814;Bromley 028E;294;1032
E01000815;Bromley 025E;330;947
E01000816;Bromley 003A;296;993
E01000817;Bromley 003B;432;962
E01000818;Bromley 003C;324;936
E01000819;Bromley 003D;358;975
E01000820;Bromley 008C;207;924
E01000821;Bromley 003E;236;867
E01000822;Bromley 008D;225;1011
E01000823;Bromley 008E;312;1201
E01000824;Bromley 008F;295;854
E01000825;Bromley 008G;176;1033
E01000826;Bromley 021A;364;943
E01000827;Bromley 021B;254;972
E01000828;Bromley 011E;218;952
E01000829;Bromley 018E;323;1146
E01000830;Bromley 021C;316;892
E01000831;Bromley 021D;252;972
E01000832;Bromley 030A;301;903
E01000833;Bromley 021E;356;893
E01000834;Bromley 027E;350;841
E01000835;Bromley 030B;368;985
E01000836;Bromley 030C;361;912
E01000837;Bromley 030D;273;844
E01000838;Bromley 030E;239;806
E01000839;Bromley 030F;283;937
E01000840;Bromley 030G;187;916
E01000841;Bromley 030H;303;982
E01000842;Camden 011A;195;1058
E01000843;Camden 014A;294;1203
E01000844;Camden 011B;214;1227
E01000845;Camden 014B;206;1055
E01000846;Camden 014C;417;907
E01000847;Camden 014D;322;1008
E01000848;Camden 011C;222;1109
E01000849;Camden 011D;178;1137
E01000850;Camden 026A;89;1125
E01000851;Camden 026B;195;1876
E01000852;Camden 026C;51;1518
E01000853;Camden 025A;216;1049
E01000854;Camden 026D;155;1408
E01000855;Camden 028A;70;1460
E01000856;Camden 019A;327;1192
E01000857;Camden 018A;242;1114
E01000858;Camden 018B;356;1067
E01000859;Camden 018C;239;1182
E01000860;Camden 018D;169;837
E01000861;Camden 019B;179;1183
E01000862;Camden 018E;230;1333
E01000863;Camden 021A;147;1230
E01000864;Camden 015A;213;1119
E01000865;Camden 015B;173;1163
E01000866;Camden 009A;324;1517
E01000867;Camden 015C;313;1056
E01000868;Camden 015D;361;907
E01000869;Camden 015E;322;1305
E01000870;Camden 009B;300;1321
E01000871;Camden 005A;299;1135
E01000872;Camden 005B;197;1398
E01000873;Camden 005C;286;1168
E01000874;Camden 005D;206;1042
E01000875;Camden 013A;218;1299
E01000876;Camden 013B;301;1241
E01000877;Camden 005E;195;1220
E01000878;Camden 004A;243;1070
E01000879;Camden 004B;188;982
E01000880;Camden 004C;318;874
E01000881;Camden 008A;210;994
E01000882;Camden 008B;184;1045
E01000883;Camden 008C;168;967
E01000884;Camden 004D;282;889
E01000885;Camden 004E;258;882
E01000886;Camden 006A;255;964
E01000887;Camden 006B;200;1047
E01000888;Camden 006C;296;1069
E01000889;Camden 007A;356;1040
E01000890;Camden 007B;343;960
E01000891;Camden 007C;291;1044
E01000892;Camden 006D;312;1175
E01000893;Camden 002A;243;1101
E01000894;Camden 002B;246;943
E01000895;Camden 002C;207;1095
E01000896;Camden 002D;315;1156
E01000897;Camden 008D;288;1075
E01000898;Camden 008E;134;1082
E01000899;Camden 002E;291;1008
E01000900;Camden 012A;307;1163
E01000901;Camden 007D;460;1276
E01000902;Camden 012B;333;958
E01000903;Camden 006E;203;950
E01000904;Camden 012C;382;1341
E01000905;Camden 012D;491;1278
E01000906;Camden 012E;182;1165
E01000907;Camden 001A;303;1009
E01000908;Camden 001B;241;1140
E01000909;Camden 001C;263;1096
E01000910;Camden 003A;279;1047
E01000911;Camden 003B;279;1060
E01000912;Camden 001D;233;1197
E01000913;Camden 001E;303;1137
E01000914;Camden 028B;140;1508
E01000915;Camden 027A;337;1081
E01000916;Camden 027B;230;1284
E01000917;Camden 027C;426;1363
E01000918;Camden 028C;163;1703
E01000919;Camden 028D;188;1600
E01000920;Camden 027D;228;1411
E01000921;Camden 003C;254;1431
E01000922;Camden 007E;210;1062
E01000923;Camden 003D;221;1138
E01000924;Camden 009C;211;1262
E01000925;Camden 009D;430;1164
E01000926;Camden 009E;261;1260
E01000927;Camden 007F;225;1240
E01000928;Camden 003E;349;1132
E01000929;Camden 020A;395;1081
E01000930;Camden 020B;266;1216
E01000931;Camden 013C;269;1316
E01000932;Camden 013D;171;1509
E01000933;Camden 020C;162;1380
E01000934;Camden 020D;278;992
E01000935;Camden 020E;362;1028
E01000936;Camden 024A;333;1391
E01000937;Camden 025B;167;1209
E01000938;Camden 024B;324;1001
E01000939;Camden 024C;342;855
E01000940;Camden 024D;254;971
E01000941;Camden 025C;275;900
E01000942;Camden 025D;265;1475
E01000943;Camden 025E;128;1287
E01000944;Camden 023A;322;1262
E01000945;Camden 023B;248;1228
E01000946;Camden 021B;208;1120
E01000947;Camden 021C;171;1599
E01000948;Camden 021D;225;1282
E01000949;Camden 023C;272;1083
E01000950;Camden 023D;366;1002
E01000951;Camden 023E;365;995
E01000952;Camden 022A;317;1202
E01000953;Camden 022B;330;1066
E01000954;Camden 022C;523;1075
E01000955;Camden 022D;345;991
E01000956;Camden 022E;321;957
E01000957;Camden 019C;283;1207
E01000958;Camden 019D;367;1442
E01000959;Camden 019E;305;1054
E01000960;Camden 017A;249;1192
E01000961;Camden 017B;340;975
E01000962;Camden 016A;185;1283
E01000963;Camden 017C;268;1032
E01000964;Camden 016B;276;1193
E01000965;Camden 016C;157;1174
E01000966;Camden 016D;215;1110
E01000967;Camden 017D;247;939
E01000968;Camden 016E;136;1255
E01000969;Camden 010A;174;1556
E01000970;Camden 010B;105;1298
E01000971;Camden 010C;229;1081
E01000972;Camden 010D;309;1359
E01000973;Camden 010E;189;1416
E01000974;Camden 013E;239;1289
E01000975;Croydon 022A;276;1132
E01000976;Croydon 022B;333;1243
E01000977;Croydon 022C;177;1061
E01000978;Croydon 022D;209;1258
E01000979;Croydon 022E;242;1233
E01000980;Croydon 017A;310;996
E01000981;Croydon 017B;344;1033
E01000982;Croydon 017C;308;1060
E01000983;Croydon 017D;335;1177
E01000984;Croydon 022F;298;1101
E01000985;Croydon 021A;272;978
E01000986;Croydon 021B;260;1063
E01000987;Croydon 021C;282;912
E01000988;Croydon 012A;505;1034
E01000989;Croydon 018A;348;1084
E01000990;Croydon 012B;382;878
E01000991;Croydon 018B;281;1024
E01000992;Croydon 014A;440;1006
E01000993;Croydon 021D;277;1012
E01000994;Croydon 009A;413;1121
E01000995;Croydon 009B;290;1016
E01000996;Croydon 009C;260;916
E01000997;Croydon 009D;334;900
E01000998;Croydon 010A;306;1172
E01000999;Croydon 009E;306;937
E01001000;Croydon 010B;267;983
E01001001;Croydon 013A;313;904
E01001002;Croydon 009F;360;951
E01001003;Croydon 010C;333;1041
E01001004;Croydon 015A;451;1038
E01001005;Croydon 019A;360;996
E01001006;Croydon 016A;433;1000
E01001007;Croydon 016B;461;1215
E01001008;Croydon 019B;412;995
E01001009;Croydon 019C;447;1009
E01001010;Croydon 019D;464;967
E01001011;Croydon 019E;408;1071
E01001012;Croydon 020A;298;1226
E01001013;Croydon 020B;443;1129
E01001014;Croydon 024A;387;1337
E01001015;Croydon 041A;381;972
E01001016;Croydon 041B;343;1064
E01001017;Croydon 043A;290;1056
E01001018;Croydon 044A;281;987
E01001019;Croydon 044B;300;939
E01001020;Croydon 044C;324;1012
E01001021;Croydon 044D;304;713
E01001022;Croydon 044E;257;839
E01001023;Croydon 041C;228;818
E01001024;Croydon 043B;288;916
E01001025;Croydon 043C;275;826
E01001026;Croydon 043D;404;1096
E01001027;Croydon 043E;362;934
E01001028;Croydon 038A;286;924
E01001029;Croydon 038B;268;1003
E01001030;Croydon 038C;301;932
E01001031;Croydon 038D;350;981
E01001032;Croydon 035A;236;822
E01001033;Croydon 031A;295;1069
E01001034;Croydon 031B;263;1090
E01001035;Croydon 027A;221;1178
E01001036;Croydon 029A;237;958
E01001037;Croydon 029B;290;981
E01001038;Croydon 029C;186;1199
E01001039;Croydon 029D;256;989
E01001040;Croydon 029E;277;1223
E01001041;Croydon 031C;266;1125
E01001042;Croydon 024B;365;1257
E01001043;Croydon 027B;283;1416
E01001044;Croydon 023A;224;1183
E01001045;Croydon 027C;164;1470
E01001046;Croydon 023B;213;1153
E01001047;Croydon 027D;232;1222
E01001048;Croydon 020C;289;1409
E01001049;Croydon 023C;261;902
E01001050;Croydon 023D;220;966
E01001051;Croydon 030A;472;832
E01001052;Croydon 030B;511;834
E01001053;Croydon 032A;376;946
E01001054;Croydon 030C;450;962
E01001055;Croydon 032B;396;948
E01001056;Croydon 030D;620;1023
E01001057;Croydon 030E;657;1028
E01001058;Croydon 034A;294;889
E01001059;Croydon 034B;246;939
E01001060;Croydon 034C;356;1062
E01001061;Croydon 034D;292;1012
E01001062;Croydon 026A;281;914
E01001063;Croydon 026B;270;964
E01001064;Croydon 026C;299;961
E01001065;Croydon 034E;181;879
E01001066;Croydon 034F;424;818
E01001067;Croydon 041D;320;1006
E01001068;Croydon 042A;443;1214
E01001069;Croydon 040A;275;849
E01001070;Croydon 040B;418;956
E01001071;Croydon 042B;459;1180
E01001072;Croydon 042C;273;914
E01001073;Croydon 037A;277;991
E01001074;Croydon 041E;326;1144
E01001075;Croydon 040C;291;987
E01001076;Croydon 036A;331;901
E01001077;Croydon 032C;289;855
E01001078;Croydon 032D;417;901
E01001079;Croydon 036B;398;910
E01001080;Croydon 036C;437;826
E01001081;Croydon 036D;336;824
E01001082;Croydon 032E;475;969
E01001083;Croydon 003A;281;964
E01001084;Croydon 002A;273;1054
E01001085;Croydon 004A;277;976
E01001086;Croydon 003B;308;1097
E01001087;Croydon 003C;317;1261
E01001088;Croydon 004B;399;1086
E01001089;Croydon 004C;427;1126
E01001090;Croydon 004D;477;1354
E01001091;Croydon 004E;313;1022
E01001092;Croydon 037B;348;1014
E01001093;Croydon 037C;354;1089
E01001094;Croydon 038E;311;1000
E01001095;Croydon 031D;284;1024
E01001096;Croydon 037D;289;942
E01001097;Croydon 037E;262;1152
E01001098;Croydon 037F;271;939
E01001099;Croydon 040D;314;962
E01001100;Croydon 031E;286;929
E01001101;Croydon 035B;288;877
E01001102;Croydon 035C;237;828
E01001103;Croydon 039A;312;883
E01001104;Croydon 042D;365;1089
E01001105;Croydon 039B;404;1041
E01001106;Croydon 039C;317;916
E01001107;Croydon 035D;269;998
E01001108;Croydon 035E;348;1035
E01001109;Croydon 013B;394;1158
E01001110;Croydon 020D;388;1215
E01001111;Croydon 010D;354;1025
E01001112;Croydon 013C;358;1066
E01001113;Croydon 013D;347;1198
E01001114;Croydon 013E;331;883
E01001115;Croydon 015B;411;944
E01001116;Croydon 013F;345;929
E01001117;Croydon 015C;393;1410
E01001118;Croydon 020E;342;1150
E01001119;Croydon 034G;281;1003
E01001120;Croydon 033A;274;834
E01001121;Croydon 039D;202;869
E01001122;Croydon 033B;274;1014
E01001123;Croydon 033C;253;914
E01001124;Croydon 033D;260;1003
E01001125;Croydon 033E;298;1066
E01001126;Croydon 034H;270;905
E01001127;Croydon 025A;292;1074
E01001128;Croydon 025B;500;922
E01001129;Croydon 026D;283;948
E01001130;Croydon 025C;619;917
E01001131;Croydon 018C;317;969
E01001132;Croydon 018D;221;912
E01001133;Croydon 026E;242;811
E01001134;Croydon 018E;310;1045
E01001135;Croydon 025D;273;1015
E01001136;Croydon 007A;300;1229
E01001137;Croydon 001A;270;1107
E01001138;Croydon 001B;304;1013
E01001139;Croydon 007B;321;1144
E01001140;Croydon 007C;326;1107
E01001141;Croydon 008A;249;916
E01001142;Croydon 007D;254;1002
E01001143;Croydon 008B;339;1150
E01001144;Croydon 007E;293;1142
E01001145;Croydon 008C;368;1079
E01001146;Croydon 006A;366;1065
E01001147;Croydon 005A;415;1003
E01001148;Croydon 005B;384;1045
E01001149;Croydon 006B;385;1026
E01001150;Croydon 006C;358;1030
E01001151;Croydon 005C;347;1029
E01001152;Croydon 005D;414;1074
E01001153;Croydon 006D;356;1033
E01001154;Croydon 006E;490;1162
E01001155;Croydon 010E;293;924
E01001156;Croydon 001C;313;1010
E01001157;Croydon 002B;335;1089
E01001158;Croydon 005E;283;1012
E01001159;Croydon 002C;269;1123
E01001160;Croydon 002D;378;1221
E01001161;Croydon 003D;482;1156
E01001162;Croydon 001D;344;1091
E01001163;Croydon 002E;347;1149
E01001164;Croydon 001E;260;1321
E01001165;Croydon 024C;302;1031
E01001166;Croydon 024D;333;1100
E01001167;Croydon 028A;449;1351
E01001168;Croydon 024E;280;1084
E01001169;Croydon 028B;389;988
E01001170;Croydon 027E;253;1224
E01001171;Croydon 028C;295;912
E01001172;Croydon 028D;461;1019
E01001173;Croydon 028E;383;1377
E01001174;Croydon 011A;349;1161
E01001175;Croydon 011B;305;1066
E01001176;Croydon 011C;419;1154
E01001177;Croydon 016C;439;1018
E01001178;Croydon 015D;382;982
E01001179;Croydon 016D;414;1005
E01001180;Croydon 016E;458;1177
E01001181;Croydon 015E;354;1009
E01001182;Croydon 011D;300;922
E01001183;Croydon 011E;277;1095
E01001184;Croydon 011F;335;906
E01001185;Croydon 014B;329;1030
E01001186;Croydon 014C;318;1151
E01001187;Croydon 017E;430;1251
E01001188;Croydon 014D;429;1185
E01001189;Croydon 012C;319;909
E01001190;Croydon 012D;400;977
E01001191;Croydon 008D;318;1175
E01001192;Croydon 008E;345;1055
E01001193;Croydon 014E;624;1019
E01001194;Croydon 012E;412;1054
E01001195;Ealing 021A;315;1077
E01001196;Ealing 015A;297;972
E01001197;Ealing 021B;324;946
E01001198;Ealing 021C;234;891
E01001199;Ealing 021D;322;1147
E01001200;Ealing 025A;206;933
E01001201;Ealing 025B;291;973
E01001202;Ealing 025C;348;1083
E01001203;Ealing 025D;223;1075
E01001204;Ealing 018A;314;1113
E01001205;Ealing 018B;374;1166
E01001206;Ealing 018C;547;1204
E01001207;Ealing 018D;234;1277
E01001208;Ealing 018E;329;886
E01001209;Ealing 013A;386;1258
E01001210;Ealing 016A;415;1104
E01001211;Ealing 013B;304;1237
E01001212;Ealing 018F;223;1134
E01001213;Ealing 023A;326;1172
E01001214;Ealing 023B;284;1151
E01001215;Ealing 023C;321;1124
E01001216;Ealing 023D;273;1043
E01001217;Ealing 014A;308;1015
E01001218;Ealing 012A;422;1254
E01001219;Ealing 029A;571;1234
E01001220;Ealing 029B;480;976
E01001221;Ealing 020A;138;1525
E01001222;Ealing 019A;245;1532
E01001223;Ealing 020B;232;1173
E01001224;Ealing 019B;353;1156
E01001225;Ealing 020C;254;1306
E01001226;Ealing 019C;195;1158
E01001227;Ealing 019D;258;1123
E01001228;Ealing 019E;205;1347
E01001229;Ealing 031A;285;979
E01001230;Ealing 031B;200;1079
E01001231;Ealing 027A;288;1154
E01001232;Ealing 031C;223;998
E01001233;Ealing 031D;210;989
E01001234;Ealing 027B;135;1047
E01001235;Ealing 020D;111;1170
E01001236;Ealing 020E;192;1152
E01001237;Ealing 031E;220;1075
E01001238;Ealing 015B;328;1777
E01001239;Ealing 015C;288;1099
E01001240;Ealing 024A;280;1105
E01001241;Ealing 024B;255;1043
E01001242;Ealing 024C;304;1003
E01001243;Ealing 024D;367;1111
E01001244;Ealing 024E;355;1436
E01001245;Ealing 024F;254;1203
E01001246;Ealing 015D;285;937
E01001247;Ealing 015E;312;1505
E01001248;Ealing 035A;257;1083
E01001249;Ealing 028A;454;1508
E01001250;Ealing 028B;272;1480
E01001251;Ealing 030A;309;1233
E01001252;Ealing 030B;315;1385
E01001253;Ealing 030C;326;1152
E01001254;Ealing 030D;260;1178
E01001255;Ealing 028C;303;1124
E01001256;Ealing 010A;668;1726
E01001257;Ealing 008A;420;1044
E01001258;Ealing 010B;328;1111
E01001259;Ealing 014B;255;1000
E01001260;Ealing 012B;337;1260
E01001261;Ealing 012C;383;1335
E01001262;Ealing 010C;326;1012
E01001263;Ealing 010D;334;1068
E01001264;Ealing 010E;365;978
E01001265;Ealing 006A;319;1217
E01001266;Ealing 006B;297;1303
E01001267;Ealing 006C;341;1258
E01001268;Ealing 012D;293;1038
E01001269;Ealing 001A;398;1310
E01001270;Ealing 004A;357;1148
E01001271;Ealing 001B;354;1215
E01001272;Ealing 006D;283;1211
E01001273;Ealing 020F;266;1198
E01001274;Ealing 020G;375;1087
E01001275;Ealing 020H;171;1442
E01001276;Ealing 011A;324;1232
E01001277;Ealing 011B;311;1333
E01001278;Ealing 011C;302;1400
E01001279;Ealing 013C;284;1063
E01001280;Ealing 011D;229;1291
E01001281;Ealing 013D;294;1032
E01001282;Ealing 016B;335;958
E01001283;Ealing 016C;283;943
E01001284;Ealing 022A;291;972
E01001285;Ealing 016D;359;1063
E01001286;Ealing 016E;339;1007
E01001287;Ealing 016F;380;929
E01001288;Ealing 022B;304;960
E01001289;Ealing 022C;310;950
E01001290;Ealing 022D;320;1249
E01001291;Ealing 014C;350;1058
E01001292;Ealing 014D;352;1169
E01001293;Ealing 014E;293;1049
E01001294;Ealing 017A;353;1245
E01001295;Ealing 017B;349;1242
E01001296;Ealing 017C;293;966
E01001297;Ealing 017D;384;1145
E01001298;Ealing 017E;353;1220
E01001299;Ealing 035B;321;1126
E01001300;Ealing 039A;371;1028
E01001301;Ealing 039B;164;1190
E01001302;Ealing 039C;280;1046
E01001303;Ealing 032A;282;1012
E01001304;Ealing 039D;231;1062
E01001305;Ealing 035C;321;1019
E01001306;Ealing 035D;270;1025
E01001307;Ealing 002A;310;1281
E01001308;Ealing 002B;334;1347
E01001309;Ealing 001C;368;1228
E01001310;Ealing 001D;357;1185
E01001311;Ealing 001E;490;1373
E01001312;Ealing 002C;369;1316
E01001313;Ealing 002D;331;1117
E01001314;Ealing 002E;307;1105
E01001315;Ealing 003A;303;1014
E01001316;Ealing 003B;362;1014
E01001317;Ealing 003C;422;1207
E01001318;Ealing 003D;401;1005
E01001319;Ealing 004B;313;970
E01001320;Ealing 003E;465;958
E01001321;Ealing 003F;421;1216
E01001322;Ealing 004C;330;1116
E01001323;Ealing 004D;311;1220
E01001324;Ealing 008B;330;1117
E01001325;Ealing 009A;448;1129
E01001326;Ealing 008C;410;1082
E01001327;Ealing 009B;387;1117
E01001328;Ealing 009C;401;1060
E01001329;Ealing 009D;409;1092
E01001330;Ealing 008D;443;1035
E01001331;Ealing 009E;433;1042
E01001332;Ealing 008E;388;1001
E01001333;Ealing 038A;357;1080
E01001334;Ealing 029C;443;1071
E01001335;Ealing 038B;286;1208
E01001336;Ealing 038C;294;1009
E01001337;Ealing 029D;331;1083
E01001338;Ealing 029E;359;1267
E01001339;Ealing 029F;478;1124
E01001340;Ealing 029G;373;1492
E01001341;Ealing 005A;289;1091
E01001342;Ealing 005B;332;1290
E01001343;Ealing 005C;229;1076
E01001344;Ealing 007A;316;1271
E01001345;Ealing 005D;355;1085
E01001346;Ealing 007B;388;1271
E01001347;Ealing 007C;261;1137
E01001348;Ealing 007D;285;1178
E01001349;Ealing 006E;263;1004
E01001350;Ealing 027C;238;861
E01001351;Ealing 025E;219;1044
E01001352;Ealing 027D;239;924
E01001353;Ealing 033A;237;994
E01001354;Ealing 027E;241;1090
E01001355;Ealing 033B;213;1068
E01001356;Ealing 033C;407;1069
E01001357;Ealing 033D;358;772
E01001358;Ealing 033E;433;862
E01001359;Ealing 026A;504;1211
E01001360;Ealing 026B;406;1113
E01001361;Ealing 023E;385;845
E01001362;Ealing 026C;350;1175
E01001363;Ealing 026D;361;1004
E01001364;Ealing 026E;363;973
E01001365;Ealing 026F;399;1326
E01001366;Ealing 037A;388;1148
E01001367;Ealing 037B;333;1052
E01001368;Ealing 037C;355;1046
E01001369;Ealing 038D;299;1173
E01001370;Ealing 037D;413;1259
E01001371;Ealing 037E;415;1260
E01001372;Ealing 037F;365;1077
E01001373;Ealing 037G;316;919
E01001374;Ealing 036A;281;1156
E01001375;Ealing 034A;288;1013
E01001376;Ealing 036B;211;981
E01001377;Ealing 034B;363;994
E01001378;Ealing 036C;198;1051
E01001379;Ealing 034C;301;1030
E01001380;Ealing 036D;243;1110
E01001381;Ealing 034D;221;998
E01001382;Ealing 032B;347;1062
E01001383;Ealing 028D;322;1341
E01001384;Ealing 032C;251;1301
E01001385;Ealing 032D;296;1264
E01001386;Ealing 031F;388;1400
E01001387;Ealing 032E;205;1242
E01001388;Ealing 028E;319;1187
E01001389;Ealing 028F;211;1285
E01001390;Enfield 036A;252;1287
E01001391;Enfield 036B;223;1093
E01001392;Enfield 032A;274;1104
E01001393;Enfield 036C;274;1438
E01001394;Enfield 035A;303;1115
E01001395;Enfield 035B;374;1041
E01001396;Enfield 036D;201;851
E01001397;Enfield 035C;287;1177
E01001398;Enfield 021A;273;931
E01001399;Enfield 021B;275;970
E01001400;Enfield 021C;269;903
E01001401;Enfield 016A;302;814
E01001402;Enfield 021D;329;1201
E01001403;Enfield 021E;315;989
E01001404;Enfield 026A;313;952
E01001405;Enfield 015A;166;1003
E01001406;Enfield 015B;287;1070
E01001407;Enfield 005A;336;987
E01001408;Enfield 004A;338;1081
E01001409;Enfield 005B;359;1073
E01001410;Enfield 005C;414;1020
E01001411;Enfield 004B;391;1165
E01001412;Enfield 004C;352;1081
E01001413;Enfield 004D;282;988
E01001414;Enfield 004E;352;860
E01001415;Enfield 011A;205;918
E01001416;Enfield 013A;351;1129
E01001417;Enfield 011B;300;1319
E01001418;Enfield 011C;233;1000
E01001419;Enfield 020A;300;1170
E01001420;Enfield 020B;283;1015
E01001421;Enfield 020C;316;994
E01001422;Enfield 011D;353;1018
E01001423;Enfield 027A;500;1047
E01001424;Enfield 030A;373;593
E01001425;Enfield 027B;532;1128
E01001426;Enfield 030B;458;1110
E01001427;Enfield 030C;477;1081
E01001428;Enfield 027C;421;987
E01001429;Enfield 030D;451;1112
E01001430;Enfield 030E;541;977
E01001431;Enfield 033A;391;944
E01001432;Enfield 033B;419;1121
E01001433;Enfield 007A;556;1087
E01001434;Enfield 007B;363;931
E01001435;Enfield 007C;361;863
E01001436;Enfield 007D;417;1136
E01001437;Enfield 014A;524;1262
E01001438;Enfield 007E;413;966
E01001439;Enfield 006A;488;1126
E01001440;Enfield 012A;337;914
E01001441;Enfield 006B;356;990
E01001442;Enfield 002A;516;950
E01001443;Enfield 003A;938;2104
E01001444;Enfield 001A;362;1003
E01001445;Enfield 003B;436;1254
E01001446;Enfield 001B;374;1048
E01001447;Enfield 003C;447;1098
E01001448;Enfield 003D;475;1057
E01001449;Enfield 003E;405;906
E01001450;Enfield 015C;220;1103
E01001451;Enfield 017A;247;968
E01001452;Enfield 017B;266;878
E01001453;Enfield 017C;279;985
E01001454;Enfield 017D;310;1008
E01001455;Enfield 021F;258;1045
E01001456;Enfield 022A;297;881
E01001457;Enfield 010A;168;999
E01001458;Enfield 034A;380;1053
E01001459;Enfield 024A;371;1042
E01001460;Enfield 024B;352;1033
E01001461;Enfield 027D;392;1074
E01001462;Enfield 024C;270;858
E01001463;Enfield 031A;308;952
E01001464;Enfield 027E;330;783
E01001465;Enfield 031B;327;989
E01001466;Enfield 031C;465;1085
E01001467;Enfield 031D;438;1098
E01001468;Enfield 010B;172;855
E01001469;Enfield 008A;298;1016
E01001470;Enfield 013B;299;899
E01001471;Enfield 010C;169;1097
E01001472;Enfield 010D;266;1030
E01001473;Enfield 013C;318;894
E01001474;Enfield 010E;258;1190
E01001475;Enfield 013D;325;1061
E01001476;Enfield 018A;362;1038
E01001477;Enfield 018B;470;1029
E01001478;Enfield 016B;329;943
E01001479;Enfield 023A;331;931
E01001480;Enfield 024D;348;987
E01001481;Enfield 018C;364;1006
E01001482;Enfield 023B;429;1147
E01001483;Enfield 025A;256;829
E01001484;Enfield 016C;276;812
E01001485;Enfield 025B;466;1059
E01001486;Enfield 025C;433;1121
E01001487;Enfield 023C;408;1056
E01001488;Enfield 024E;463;1214
E01001489;Enfield 023D;380;1066
E01001490;Enfield 025D;910;1804
E01001491;Enfield 023E;438;1232
E01001492;Enfield 025E;458;1079
E01001493;Enfield 026B;300;1106
E01001494;Enfield 026C;277;925
E01001495;Enfield 029A;248;1193
E01001496;Enfield 026D;318;1087
E01001497;Enfield 031E;328;891
E01001498;Enfield 029B;316;1254
E01001499;Enfield 031F;268;1036
E01001500;Enfield 035D;266;895
E01001501;Enfield 036E;322;1162
E01001502;Enfield 018D;380;1161
E01001503;Enfield 018E;396;1077
E01001504;Enfield 012B;323;879
E01001505;Enfield 012C;382;959
E01001506;Enfield 014B;429;1038
E01001507;Enfield 012D;377;1203
E01001508;Enfield 012E;344;1008
E01001509;Enfield 014C;371;1134
E01001510;Enfield 014D;421;1035
E01001511;Enfield 016D;394;1076
E01001512;Enfield 015D;320;1118
E01001513;Enfield 012F;417;999
E01001514;Enfield 016E;343;1165
E01001515;Enfield 015E;467;1124
E01001516;Enfield 005D;404;1062
E01001517;Enfield 006C;437;1092
E01001518;Enfield 016F;325;1152
E01001519;Enfield 020D;260;1471
E01001520;Enfield 019A;278;1074
E01001521;Enfield 028A;274;1084
E01001522;Enfield 019B;425;1189
E01001523;Enfield 019C;296;1105
E01001524;Enfield 019D;337;964
E01001525;Enfield 020E;254;1061
E01001526;Enfield 019E;304;1013
E01001527;Enfield 036F;245;1001
E01001528;Enfield 032B;310;1062
E01001529;Enfield 032C;270;931
E01001530;Enfield 032D;201;873
E01001531;Enfield 028B;266;946
E01001532;Enfield 028C;330;1113
E01001533;Enfield 028D;279;974
E01001534;Enfield 032E;238;1029
E01001535;Enfield 028E;241;974
E01001536;Enfield 008B;275;1076
E01001537;Enfield 005E;332;1079
E01001538;Enfield 009A;345;1115
E01001539;Enfield 009B;351;1006
E01001540;Enfield 008C;265;1103
E01001541;Enfield 008D;283;990
E01001542;Enfield 008E;299;902
E01001543;Enfield 009C;382;1036
E01001544;Enfield 009D;278;968
E01001545;Enfield 002B;506;1032
E01001546;Enfield 001C;424;1151
E01001547;Enfield 002C;350;1015
E01001548;Enfield 002D;422;999
E01001549;Enfield 006D;538;1199
E01001550;Enfield 006E;455;1004
E01001551;Enfield 002E;365;938
E01001552;Enfield 001D;386;1095
E01001553;Enfield 034B;422;929
E01001554;Enfield 034C;484;1066
E01001555;Enfield 033C;395;1063
E01001556;Enfield 035E;314;994
E01001557;Enfield 033D;359;975
E01001558;Enfield 033E;437;931
E01001559;Enfield 033F;485;1241
E01001560;Enfield 035F;336;1056
E01001561;Enfield 034D;476;1151
E01001562;Enfield 034E;453;1268
E01001563;Enfield 029C;291;1030
E01001564;Enfield 022B;344;1075
E01001565;Enfield 029D;236;1074
E01001566;Enfield 029E;313;1113
E01001567;Enfield 022C;287;981
E01001568;Enfield 022D;265;1043
E01001569;Enfield 022E;279;1185
E01001570;Enfield 026E;356;1179
E01001571;Greenwich 008A;398;1050
E01001572;Greenwich 008B;338;1034
