Codes;Names;pop0-15;Working age
E01000152;Barnet 026C;586;956
E01000153;Barnet 026D;399;921
E01000154;Barnet 026E;391;909
E01000155;Barnet 030D;284;1150
E01000156;Barnet 022A;346;1173
E01000157;Barnet 022B;282;1055
E01000158;Barnet 015A;292;1010
E01000159;Barnet 015B;356;1102
E01000160;Barnet 015C;318;1379
E01000161;Barnet 015D;256;1314
E01000162;Barnet 015E;266;957
E01000163;Barnet 022C;276;1074
E01000164;Barnet 022D;318;1091
E01000165;Barnet 022E;312;1281
E01000166;Barnet 003A;295;985
E01000167;Barnet 002A;258;914
E01000168;Barnet 003B;297;930
E01000169;Barnet 003C;279;1073
E01000170;Barnet 006A;345;1058
E01000171;Barnet 006B;372;1364
E01000172;Barnet 003D;364;1024
E01000173;Barnet 006C;368;1175
E01000174;Barnet 006D;377;1162
E01000175;Barnet 006E;306;1021
E01000176;Barnet 027A;410;1040
E01000177;Barnet 029A;237;1134
E01000178;Barnet 027B;342;1108
E01000179;Barnet 029B;234;1235
E01000180;Barnet 029C;260;967
E01000181;Barnet 029D;267;1146
E01000182;Barnet 029E;266;1200
E01000183;Barnet 033A;257;840
E01000184;Barnet 027C;330;863
E01000185;Barnet 029F;347;1004
E01000186;Barnet 014A;419;1009
E01000187;Barnet 014B;379;977
E01000188;Barnet 014C;302;986
E01000189;Barnet 014D;489;1089
E01000190;Barnet 014E;341;983
E01000191;Barnet 014F;264;885
E01000192;Barnet 018A;286;1090
E01000193;Barnet 018B;320;1088
E01000194;Barnet 018C;287;1103
E01000195;Barnet 013A;378;1052
E01000196;Barnet 028A;171;1207
E01000197;Barnet 023A;297;1196
E01000198;Barnet 025A;378;1119
E01000199;Barnet 025B;298;906
E01000200;Barnet 028B;268;1123
E01000201;Barnet 028C;318;927
E01000202;Barnet 028D;352;1143
E01000203;Barnet 028E;373;1056
E01000204;Barnet 025C;317;1134
E01000205;Barnet 035A;365;908
E01000206;Barnet 033B;347;914
E01000207;Barnet 033C;327;899
E01000208;Barnet 033D;316;949
E01000209;Barnet 035B;238;884
E01000210;Barnet 033E;403;847
E01000211;Barnet 035C;213;1179
E01000212;Barnet 035D;272;802
E01000213;Barnet 033F;354;807
E01000214;Barnet 038E;259;1110
E01000215;Barnet 037B;488;970
E01000216;Barnet 035E;469;1103
E01000217;Barnet 035F;447;914
E01000218;Barnet 037C;427;987
E01000219;Barnet 037D;463;1113
E01000220;Barnet 037E;387;1062
E01000221;Barnet 039B;329;805
E01000222;Barnet 040C;334;936
E01000223;Barnet 039C;277;775
E01000224;Barnet 040D;298;949
E01000225;Barnet 037F;534;832
E01000226;Barnet 018D;390;1013
E01000227;Barnet 018E;417;1135
E01000228;Barnet 007A;367;912
E01000229;Barnet 013B;341;1094
E01000230;Barnet 013C;422;1106
E01000231;Barnet 013D;368;1119
E01000232;Barnet 013E;344;1108
E01000233;Barnet 013F;391;1108
E01000234;Barnet 021D;280;1032
E01000235;Barnet 021E;403;985
E01000236;Barnet 034A;479;1077
E01000237;Barnet 032A;337;1216
E01000238;Barnet 034B;472;1169
E01000239;Barnet 031A;253;1304
E01000240;Barnet 031B;309;1118
E01000241;Barnet 031C;313;1182
E01000242;Barnet 032B;358;954
E01000243;Barnet 032C;248;1183
E01000244;Barnet 032D;239;1060
E01000245;Barnet 032E;374;1231
E01000246;Barnet 002B;261;945
E01000247;Barnet 002C;308;1309
E01000248;Barnet 001A;321;1048
E01000249;Barnet 001B;286;989
E01000250;Barnet 001C;338;1252
E01000251;Barnet 002D;244;1224
E01000252;Barnet 002E;256;1033
E01000253;Barnet 007B;298;1022
E01000254;Barnet 001D;327;902
E01000255;Barnet 017A;315;930
E01000256;Barnet 016A;365;1139
E01000257;Barnet 017B;406;1098
E01000258;Barnet 016B;296;1094
E01000259;Barnet 025D;613;1598
E01000260;Barnet 025E;311;1142
E01000261;Barnet 017C;340;856
E01000262;Barnet 017D;574;1315
E01000263;Barnet 016C;415;948
E01000264;Barnet 016D;324;1046
E01000265;Barnet 011A;364;1167
E01000266;Barnet 011B;289;971
E01000267;Barnet 005A;292;1053
E01000268;Barnet 005B;287;1031
E01000269;Barnet 005C;273;887
E01000270;Barnet 005D;222;912
E01000271;Barnet 008A;275;913
E01000272;Barnet 008B;252;872
E01000273;Barnet 008C;238;982
E01000274;Barnet 011C;387;1116
E01000275;Barnet 012A;264;1144
E01000276;Barnet 020A;364;930
E01000277;Barnet 012B;264;1179
E01000278;Barnet 020B;348;977
E01000279;Barnet 007C;272;929
E01000280;Barnet 007D;305;957
E01000281;Barnet 008D;298;781
E01000282;Barnet 008E;340;1048
E01000283;Barnet 012C;315;925
E01000284;Barnet 012D;286;1145
E01000285;Barnet 004A;312;1040
E01000286;Barnet 007E;312;1037
E01000287;Barnet 004B;374;998
E01000288;Barnet 004C;376;976
E01000289;Barnet 004D;516;1162
E01000290;Barnet 007F;292;973
E01000291;Barnet 004E;380;1006
E01000292;Barnet 001E;258;956
E01000293;Barnet 001F;305;1126
E01000294;Barnet 004F;292;1041
E01000295;Barnet 023B;261;1151
E01000296;Barnet 023C;248;1213
E01000297;Barnet 027D;233;1048
E01000298;Barnet 023D;257;1159
E01000299;Barnet 019A;186;1154
E01000300;Barnet 019B;287;1134
E01000301;Barnet 020C;363;1015
E01000302;Barnet 019C;256;1227
E01000303;Barnet 020D;367;1044
E01000304;Barnet 020E;234;1140
E01000305;Barnet 036B;269;920
E01000306;Barnet 036C;224;1039
E01000307;Barnet 039D;311;970
E01000308;Barnet 036D;331;942
E01000309;Barnet 031D;262;1091
E01000310;Barnet 034C;292;1228
E01000311;Barnet 034D;421;832
E01000312;Barnet 036E;336;1067
E01000313;Barnet 036F;259;1054
E01000314;Barnet 032F;294;1163
E01000315;Barnet 022F;435;1133
E01000316;Barnet 027E;417;1506
E01000317;Barnet 019D;270;1112
E01000318;Barnet 019E;344;1192
E01000319;Barnet 027F;284;1001
E01000320;Barnet 011D;273;1006
E01000321;Barnet 012E;247;1285
E01000322;Barnet 011E;237;1219
E01000323;Barnet 019F;261;1326
E01000324;Barnet 015F;365;1217
E01000325;Bexley 014A;331;1064
E01000326;Bexley 014B;257;888
E01000327;Bexley 017A;269;967
E01000328;Bexley 017B;293;966
E01000329;Bexley 017C;292;839
E01000330;Bexley 017D;203;937
E01000331;Bexley 017E;340;932
E01000332;Bexley 005A;260;898
E01000333;Bexley 003A;329;1027
E01000334;Bexley 006A;310;1022
E01000335;Bexley 003B;408;1026
E01000336;Bexley 003C;437;1047
E01000337;Bexley 003D;362;1068
E01000338;Bexley 003E;374;1118
E01000339;Bexley 025A;291;981
E01000340;Bexley 018A;269;952
E01000341;Bexley 022A;243;861
E01000342;Bexley 022B;327;1044
E01000343;Bexley 022C;321;972
E01000344;Bexley 025B;288;937
E01000345;Bexley 022D;275;893
E01000346;Bexley 021A;317;1005
E01000347;Bexley 021B;320;885
E01000348;Bexley 020A;291;878
E01000349;Bexley 020B;292;957
E01000350;Bexley 021C;284;974
E01000351;Bexley 024A;281;965
E01000352;Bexley 021D;308;961
E01000353;Bexley 011A;266;1030
E01000354;Bexley 011B;290;953
E01000355;Bexley 011C;211;849
E01000356;Bexley 009A;233;893
E01000357;Bexley 009B;308;921
E01000358;Bexley 011D;275;1023
E01000359;Bexley 009C;253;819
E01000360;Bexley 015A;263;1104
E01000361;Bexley 020C;306;1032
E01000362;Bexley 015B;272;924
E01000363;Bexley 020D;261;920
E01000364;Bexley 023A;240;947
E01000365;Bexley 015C;267;978
E01000366;Bexley 015D;284;1072
E01000367;Bexley 010A;340;984
E01000368;Bexley 010B;363;938
E01000369;Bexley 014C;310;1099
E01000370;Bexley 014D;278;987
E01000371;Bexley 014E;245;1003
E01000372;Bexley 010C;357;1020
E01000373;Bexley 008A;478;998
E01000374;Bexley 019A;443;857
E01000375;Bexley 019B;365;953
E01000376;Bexley 019C;335;935
E01000377;Bexley 019D;198;900
E01000378;Bexley 019E;450;1292
E01000379;Bexley 019F;404;1067
E01000380;Bexley 010D;259;892
E01000381;Bexley 028A;317;934
E01000382;Bexley 027A;268;939
E01000383;Bexley 028B;259;937
E01000384;Bexley 027B;279;1057
E01000385;Bexley 028C;379;975
E01000386;Bexley 028D;310;857
E01000387;Bexley 027C;271;917
E01000388;Bexley 016A;246;892
E01000389;Bexley 020E;206;917
E01000390;Bexley 020F;245;843
E01000391;Bexley 021E;365;1065
E01000392;Bexley 016B;367;1004
E01000393;Bexley 020G;302;1072
E01000394;Bexley 015E;239;888
E01000395;Bexley 018B;277;917
E01000396;Bexley 018C;280;866
E01000397;Bexley 012A;265;992
E01000398;Bexley 012B;289;953
E01000399;Bexley 012C;253;943
E01000400;Bexley 012D;305;968
E01000401;Bexley 013A;323;937
E01000402;Bexley 005B;305;945
E01000403;Bexley 004A;337;988
E01000404;Bexley 004B;542;1387
E01000405;Bexley 004C;365;893
E01000406;Bexley 005C;421;967
E01000407;Bexley 005D;204;870
E01000408;Bexley 004D;360;1047
E01000409;Bexley 016C;290;1021
E01000410;Bexley 018D;309;999
E01000411;Bexley 016D;309;907
E01000412;Bexley 018E;335;998
E01000413;Bexley 018F;276;894
E01000414;Bexley 016E;268;990
E01000415;Bexley 016F;280;971
E01000416;Bexley 002A;347;938
E01000417;Bexley 006B;290;1065
E01000418;Bexley 002B;393;1188
E01000419;Bexley 006C;253;872
E01000420;Bexley 006D;305;991
E01000421;Bexley 009D;247;845
E01000422;Bexley 002C;488;1147
E01000423;Bexley 025C;312;993
E01000424;Bexley 026A;230;1078
E01000425;Bexley 025D;339;1012
E01000426;Bexley 026B;305;1027
E01000427;Bexley 026C;284;1083
E01000428;Bexley 027D;266;921
E01000429;Bexley 008B;406;1096
E01000430;Bexley 008C;440;1152
E01000431;Bexley 008D;447;1096
E01000432;Bexley 008E;361;953
E01000433;Bexley 008F;449;1048
E01000434;Bexley 008G;489;903
E01000435;Bexley 010E;343;872
E01000436;Bexley 011E;328;1093
E01000437;Bexley 007A;289;880
E01000438;Bexley 007B;318;1060
E01000439;Bexley 007C;327;885
E01000440;Bexley 007D;274;889
E01000441;Bexley 007E;419;1041
E01000442;Bexley 006E;330;1015
E01000443;Bexley 024B;274;726
E01000444;Bexley 023B;284;950
E01000445;Bexley 024C;239;931
E01000446;Bexley 024D;334;1008
E01000447;Bexley 023C;243;906
E01000448;Bexley 023D;263;779
E01000449;Bexley 023E;240;843
E01000450;Bexley 009E;436;1052
E01000451;Bexley 009F;374;1095
E01000452;Bexley 009G;357;944
E01000453;Bexley 013B;332;920
E01000454;Bexley 013C;304;951
E01000455;Bexley 013D;355;1086
E01000456;Bexley 013E;333;909
E01000457;Bexley 026D;201;1071
E01000458;Bexley 027E;242;921
E01000459;Bexley 027F;264;983
E01000460;Bexley 022E;260;977
E01000461;Bexley 024E;318;1134
E01000462;Bexley 026E;235;950
E01000463;Bexley 025E;291;828
E01000464;Bexley 002D;320;951
E01000465;Bexley 002E;318;1041
E01000466;Bexley 001A;390;1019
E01000467;Bexley 001B;392;977
E01000468;Bexley 001C;760;1572
E01000469;Bexley 001D;369;1009
E01000470;Bexley 002F;383;936
E01000471;Brent 026A;354;1092
E01000472;Brent 029A;304;1001
E01000473;Brent 029B;289;1115
E01000474;Brent 026B;397;1240
E01000475;Brent 029C;329;1144
E01000476;Brent 026C;308;1059
E01000477;Brent 026D;433;1190
E01000478;Brent 029D;286;1090
E01000479;Brent 009A;321;1046
E01000480;Brent 006A;291;1014
E01000481;Brent 009B;295;1049
E01000482;Brent 009C;629;1447
E01000483;Brent 009D;409;1025
E01000484;Brent 006B;347;830
E01000485;Brent 006C;206;753
E01000486;Brent 006D;298;1051
E01000487;Brent 006E;302;1016
E01000488;Brent 022A;321;986
E01000489;Brent 030A;258;1043
E01000490;Brent 023A;174;1237
E01000491;Brent 030B;354;1148
E01000492;Brent 030C;205;892
E01000493;Brent 030D;287;1114
E01000494;Brent 023B;210;1200
E01000495;Brent 023C;178;1048
E01000496;Brent 010A;372;1049
E01000497;Brent 011A;356;1077
E01000498;Brent 010B;397;1001
E01000499;Brent 011B;420;1044
E01000500;Brent 010C;339;756
E01000501;Brent 011C;436;1061
E01000502;Brent 011D;332;934
E01000503;Brent 011E;298;1125
E01000504;Brent 018A;206;1205
E01000505;Brent 018B;278;1049
E01000506;Brent 014A;352;1091
E01000507;Brent 018C;280;1138
E01000508;Brent 025A;403;1312
E01000509;Brent 014B;260;935
E01000510;Brent 014C;324;1048
E01000511;Brent 014D;322;1034
E01000512;Brent 018D;262;1204
E01000513;Brent 002A;362;945
E01000514;Brent 002B;302;936
E01000515;Brent 003A;330;1072
E01000516;Brent 002C;287;1007
E01000517;Brent 003B;230;982
E01000518;Brent 005A;380;982
E01000519;Brent 005B;398;1132
E01000520;Brent 002D;269;998
E01000521;Brent 025B;476;1410
E01000522;Brent 025C;511;1187
E01000523;Brent 031A;480;1589
E01000524;Brent 031B;603;1498
E01000525;Brent 031C;455;1341
E01000526;Brent 025D;604;1338
E01000527;Brent 025E;467;1260
E01000528;Brent 025F;333;873
E01000529;Brent 031D;588;1873
E01000530;Brent 033A;267;1266
E01000531;Brent 033B;240;1340
E01000532;Brent 033C;246;1141
E01000533;Brent 031E;511;1421
E01000534;Brent 033D;333;1112
E01000535;Brent 031F;399;1467
E01000536;Brent 004A;229;955
E01000537;Brent 003C;227;680
E01000538;Brent 004B;269;938
E01000539;Brent 004C;222;964
E01000540;Brent 004D;225;916
E01000541;Brent 004E;248;827
E01000542;Brent 003D;265;1041
E01000543;Brent 003E;262;894
E01000544;Brent 034A;395;1079
E01000545;Brent 028A;241;1361
